"Journal Report 1 (R2)","Number of Successful Article Requests by Month and Journal","","","","","","","","","","","","","","","","","",""
"University of Fishwick","","","","","","","","","","","","","","","","","","",""
"Date run:","","","","","","","","","","","","","","","","","","",""
"2008-06-30","","","","","","","","","","","","","","","","","","",""
"","Publisher","Platform","Print ISSN","Online ISSN","Jan-2006","Feb-2006","Mar-2006","Apr-2006","May-2006","Jun-2006","Jul-2006","Aug-2006","Sep-2006","Oct-2006","Nov-2006","Dec-2006","YTD Total","YTD HTML","YTD PDF"
"Journal of the Royal Anthropological Institute of Great Britain and Ireland","Royal Anthropological Institute of Great Britain and Ireland","JSTOR","0307-3114","","1","15","10","43","29","0","0","0","2","3","2","3","108","83","23"
"Journal of the Royal Geographical Society of London","Royal Geographical Society","JSTOR","0266-6235","","0","3","0","0","0","4","0","0","0","1","1","0","9","7","2"
"Journal of the Royal Musical Association","Oxford University Press","JSTOR","0269-0403","","3","1","1","1","10","1","1","6","0","2","12","5","43","40","3"
"Journal of the Royal Statistical Society. Series A (Statistics in Society)","Royal Statistical Society","JSTOR","0964-1998","","3","6","11","9","12","3","1","1","1","2","1","2","52","46","6"
"Journal of the Royal Statistical Society. Series B (Statistical Methodology)","Blackwell Publishing","JSTOR","1369-7412","","0","2","0","0","0","0","0","0","0","0","0","0","2","1","1"
"Journal of the Society of Architectural Historians","Society of Architectural Historians","JSTOR","0037-9808","","5","4","13","81","35","5","1","4","22","27","67","44","308","225","77"
"Journal of the Torrey Botanical Society","The Torrey Botanical Society","JSTOR","1095-5674","","0","3","4","4","0","0","0","1","9","11","8","10","50","47","3"
"Journal of the Warburg and Courtauld Institutes","The Warburg Institute","JSTOR","0075-4390","","2","11","5","13","6","3","2","6","20","28","44","40","180","141","39"
"Journal of Tropical Ecology","Cambridge University Press","JSTOR","0266-4674","","1","0","0","0","0","0","0","1","0","3","1","1","7","7","0"
"Journal of Vegetation Science","Opulus Press AB","JSTOR","1100-9233","","0","0","0","1","0","0","0","5","1","2","1","3","13","8","5"
"Land Economics","University of Wisconsin Press","JSTOR","0023-7639","","5","14","7","23","24","0","4","0","5","27","12","23","144","123","21"
"Language","Linguistic Society of America","JSTOR","0097-8507","","5","5","0","1","2","0","3","5","3","6","17","5","52","37","15"
"Latin American Antiquity","Society for American Archaeology","JSTOR","1045-6635","","1","0","0","73","20","2","0","8","193","244","94","25","660","461","198"
"Latin American Music Review &#47; Revista de M&uacute;sica Latinoamericana","University of Texas Press","JSTOR","0163-0350","","1","0","3","6","1","1","0","1","7","8","0","13","41","31","10"
"Latin American Perspectives","Sage Publications","JSTOR","0094-582X","","3","93","56","102","52","3","12","2","8","18","58","9","416","291","109"
"Latin American Politics and Society","School of International Studies, University of Miami","JSTOR","1531-426X","","1","34","17","35","23","38","0","9","10","8","24","20","219","170","48"
"Latin American Research Review","Latin American Studies Association","JSTOR","0023-8791","1542-4278","1","22","18","51","29","5","12","2","9","3","20","19","191","155","36"
"Law &amp; Social Inquiry","Blackwell Publishing","JSTOR","0897-6546","","1","2","0","7","11","1","0","1","2","12","14","2","53","45","8"
"Law &amp; Society Review","Law and Society Association","JSTOR","0023-9216","","2","3","11","31","15","7","2","2","7","15","16","15","126","105","21"
"Law and Contemporary Problems","Duke University School of Law","JSTOR","0023-9186","","0","7","1","31","35","2","0","1","1","9","11","20","118","94","23"
"Law and History Review","American Society for Legal History","JSTOR","0738-2480","","0","0","1","1","4","2","2","3","11","14","5","7","50","33","17"
"Law and Human Behavior","Springer Science + Business Media","JSTOR","0147-7307","","0","6","0","2","9","1","0","0","0","17","4","2","41","36","4"
"Law and Literature","University of California Press","JSTOR","1535-685X","","0","1","0","1","1","0","0","0","0","1","14","15","33","27","6"
"Law and Philosophy","Springer Science + Business Media","JSTOR","0167-5249","","0","0","0","0","0","0","0","0","4","2","9","5","20","12","6"
"Learning Disability Quarterly","Council for Learning Disabilities","JSTOR","0731-9487","","0","0","1","30","5","0","0","1","0","6","3","1","47","36","11"
"Legislative Studies Quarterly","Comparative Legislative Research Center","JSTOR","0362-9805","","1","1","2","18","23","3","0","2","5","5","12","3","75","64","11"
"Leonardo","MIT Press","JSTOR","0024-094X","","0","3","6","39","10","0","2","3","2","13","11","11","100","89","11"
"Leonardo Music Journal","MIT Press","JSTOR","0961-1215","","0","0","0","0","0","0","0","0","0","1","7","4","12","11","1"
"Leonardo. Supplemental Issue","MIT Press","JSTOR","1748-7331","","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0"
"Lied und popul&auml;re Kultur &#47; Song and Popular Culture","Deutsches Volksliedarchiv","JSTOR","1619-0548","","0","0","1","1","0","0","0","0","0","0","0","0","2","2","0"
"Limnology and Oceanography","American Society of Limnology and Oceanography","JSTOR","0024-3590","","12","37","34","22","33","2","2","5","28","148","21","21","365","281","84"
"Luso-Brazilian Review","University of Wisconsin Press","JSTOR","0024-7413","","0","0","0","0","0","0","0","0","2","11","6","3","22","14","8"
"Mammalian Species","American Society of Mammalogists","JSTOR","0076-3519","1545-1410","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0"
"Management Science","INFORMS","JSTOR","0025-1909","","0","2","6","4","0","1","0","3","0","1","4","5","26","20","6"
"Management Technology","INFORMS","JSTOR","0542-4917","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Managerial and Decision Economics","John Wiley &amp; Sons","JSTOR","0143-6570","","4","2","1","40","4","0","0","2","2","7","0","2","64","41","23"
"Marburger Jahrbuch f&uuml;r Kunstwissenschaft","Verlag des Kunstgeschichtlichen Seminars der Philipps-Universitat Marburg","JSTOR","0342-121X","","0","0","0","1","0","0","0","0","0","1","0","0","2","2","0"
"Marketing Science","INFORMS","JSTOR","0732-2399","","0","3","0","0","0","0","0","1","0","9","0","2","15","11","4"
"Master Drawings","Master Drawings Association","JSTOR","0025-5025","","0","0","0","4","1","0","1","0","3","9","8","2","28","27","1"
"Mathematical Gazette","Mathematical Association","JSTOR","0025-5572","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mathematics Magazine","Mathematical Association of America","JSTOR","0025-570X","","2","0","0","2","15","1","0","0","0","3","12","33","68","55","13"
"Mathematics of Computation","American Mathematical Society","JSTOR","0025-5718","","0","0","0","1","0","0","1","0","0","0","0","0","2","1","1"
"Medical Anthropology Quarterly","University of California Press","JSTOR","0745-5194","1548-1387","2","43","21","100","33","6","3","1","5","3","22","15","254","198","54"
"MELUS","The Society for the Study of the Multi-Ethnic Literature of the United States (MELUS)","JSTOR","0163-755X","","4","15","13","24","6","1","5","3","18","47","61","68","265","208","56"
"Memoir (The Paleontological Society)","Paleontological Society","JSTOR","0078-8597","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mershon International Studies Review","The International Studies Association","JSTOR","1079-1760","","0","1","4","10","8","0","0","0","0","1","4","1","29","22","7"
"Metropolitan Museum Journal","The Metropolitan Museum of Art","JSTOR","0077-8958","","0","3","4","9","14","0","0","0","6","2","6","3","47","38","8"
"Metropolitan Museum of Art Bulletin","The Metropolitan Museum of Art","JSTOR","0026-1521","","1","8","24","76","168","17","1","0","17","18","36","25","391","332","51"
"Metropolitan Museum Studies","The Metropolitan Museum of Art","JSTOR","1556-8725","","0","0","0","2","0","0","0","0","0","3","2","0","7","7","0"
"Mexican Studies &#47; Estudios Mexicanos","University of California Press","JSTOR","0742-9797","","0","17","4","17","14","0","0","0","2","1","1","0","56","49","5"
"Michigan Law Review","Michigan Law Review Association","JSTOR","0026-2234","","2","3","10","28","11","3","2","1","78","65","18","72","293","221","69"
"Micropaleontology","The Micropaleontology Project, Inc.","JSTOR","0026-2803","","0","0","0","0","1","0","0","0","0","0","1","0","2","2","0"
"Middle East Report","Middle East Research and Information Project, Inc.","JSTOR","0899-2851","","0","10","39","66","48","0","2","1","24","12","82","25","309","229","78"
"Milbank Quarterly","Milbank Memorial Fund","JSTOR","0887-378X","","0","0","0","0","8","0","2","2","3","5","11","13","44","34","10"
"Mind","Oxford University Press","JSTOR","0026-4423","1460-2113","0","10","4","26","7","0","0","6","9","28","18","21","129","110","18"
"MIS Quarterly","Management Information Systems Research Center, University of Minnesota","JSTOR","0276-7783","","0","0","1","1","0","0","0","0","1","0","1","1","5","5","0"
"Missouri Botanical Garden Annual Report","Missouri Botanical Garden Press","JSTOR","0893-3243","","0","0","0","1","0","0","0","0","0","1","0","0","2","2","0"
"MLN","The Johns Hopkins University Press","JSTOR","0026-7910","1080-6598","20","31","49","60","81","5","12","0","20","55","69","55","457","416","38"
"Modern Asian Studies","Cambridge University Press","JSTOR","0026-749X","","1","12","12","23","23","2","1","4","20","27","32","9","166","137","28"
"Modern China","Sage Publications","JSTOR","0097-7004","","11","2","9","9","37","2","0","8","5","37","36","63","219","166","48"
"Modern Judaism","Oxford University Press","JSTOR","0276-1114","1086-3273","0","2","1","3","5","0","0","0","0","7","3","4","25","21","4"
"Modern Language Journal","National Federation of Modern Language Teachers Association","JSTOR","0026-7902","","2","3","12","14","6","2","3","6","4","15","17","26","110","97","13"
"Modern Language Studies","Modern Language Studies","JSTOR","0047-7729","","1","10","13","10","43","3","4","0","17","42","37","41","221","176","38"
"Modern Law Review","Modern Law Review","JSTOR","0026-7961","","0","0","7","15","11","4","0","0","2","8","8","3","58","47","10"
"Modern Philology","University of Chicago Press","JSTOR","0026-8232","1545-6951","2","26","32","37","49","6","12","4","3","34","63","46","314","263","47"
"Monographs of the Society for Research in Child Development","The Society for Research in Child Development","JSTOR","0037-976X","","0","0","1","13","6","0","0","0","0","0","10","0","30","24","6"
"Monumenta Nipponica","Sophia University","JSTOR","0027-0741","","86","270","105","181","65","6","20","16","243","149","144","97","1382","1009","339"
"Muqarnas","Brill Academic Publishers","JSTOR","0732-2992","","0","4","9","3","0","0","0","2","4","14","51","19","106","77","29"
"Music &amp; Letters","Oxford University Press","JSTOR","0027-4224","","6","2","2","11","8","4","21","5","5","3","86","34","187","172","15"
"Music Analysis","Blackwell Publishing","JSTOR","0262-5245","","0","0","0","0","0","0","0","0","2","0","2","4","8","7","1"
"Music Educators Journal","MENC: The National Association for Music Education","JSTOR","0027-4321","","0","0","0","0","0","0","0","0","10","13","24","20","67","59","8"
"Music Theory Spectrum","University of California Press","JSTOR","0195-6167","","0","0","0","0","0","0","0","0","3","0","2","2","7","5","2"
"Musical Quarterly","Oxford University Press","JSTOR","0027-4631","","5","5","2","9","14","3","3","6","7","13","33","41","141","118","21"
"Musical Times","Musical Times Publications, Ltd. ","JSTOR","0027-4666","","1","6","7","11","37","9","21","43","27","35","122","147","466","423","43"
"NBER Macroeconomics Annual","MIT Press","JSTOR","0889-3365","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Near Eastern Archaeology","American Schools of Oriental Research","JSTOR","1094-2076","","1","2","9","28","38","0","0","1","5","16","5","6","111","95","11"
"New England Quarterly","The New England Quarterly, Inc.","JSTOR","0028-4866","","39","33","115","104","81","5","29","14","46","220","31","45","762","602","141"
"New German Critique","New German Critique","JSTOR","0094-033X","","12","7","3","9","5","1","0","1","8","12","32","13","103","88","14"
"New Literary History","The Johns Hopkins University Press","JSTOR","0028-6087","1080-661X","1","2","12","24","30","3","1","2","3","19","16","15","128","105","21"
"New Phytologist","New Phytologist Trust","JSTOR","0028-646X","","1","26","19","30","37","0","7","5","3","16","2","16","162","136","25"
"Nineteenth-Century Literature","University of California Press","JSTOR","0891-9356","","26","90","48","96","303","1","2","5","34","11","49","94","759","576","159"
"No&ucirc;s","Blackwell Publishing","JSTOR","0029-4624","1468-0068","2","23","2","9","7","1","0","0","0","4","46","6","100","83","17"
"Northwestern Naturalist","Society for Northwestern Vertebrate Biology","JSTOR","1051-1733","","0","0","0","0","0","0","0","0","0","0","6","0","6","5","1"
"Notes","Music Library Association","JSTOR","0027-4380","","2","1","5","1","7","9","2","0","4","7","16","23","77","70","7"
"Notes and Records of the Royal Society of London","The Royal Society","JSTOR","0035-9149","","0","0","1","3","1","2","12","2","4","0","0","3","28","23","5"
"NOVEL: A Forum on Fiction","Novel Corp., Brown University","JSTOR","0029-5132","","5","3","16","39","28","3","0","0","5","7","20","22","148","122","24"
"Novon","Missouri Botanical Garden Press","JSTOR","1055-3177","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Novum Testamentum","Brill Academic Publishers","JSTOR","0048-1009","","0","0","0","6","2","0","0","0","1","1","2","0","12","12","0"
"Numen","Brill Academic Publishers","JSTOR","0029-5973","","0","4","5","8","10","2","0","0","3","4","3","3","42","37","5"
"Oceanic Linguistics","University of Hawai'i Press","JSTOR","0029-8115","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"October","MIT Press","JSTOR","0162-2870","","2","15","4","27","14","4","0","6","5","38","17","32","164","134","30"
"Oikos","The Nordic Society Oikos","JSTOR","0030-1299","","0","0","0","0","0","0","0","0","0","18","17","6","41","30","11"
"Operations Research","INFORMS","JSTOR","0030-364X","","0","0","0","2","4","0","0","0","0","8","4","4","22","19","3"
"Organization Science","INFORMS","JSTOR","1047-7039","","0","0","0","1","5","3","0","2","0","2","0","0","13","9","4"
"Oriens","Brill Academic Publishers","JSTOR","0078-6527","","0","0","0","2","0","0","0","1","0","0","2","0","5","4","1"
"Osiris","University of Chicago Press","JSTOR","0369-7827","","3","0","0","2","7","2","2","0","1","3","1","1","22","16","5"
"Oxford Art Journal","Oxford University Press","JSTOR","0142-6540","","2","7","7","24","9","4","0","0","14","7","18","13","105","85","20"
"Oxford Economic Papers","Oxford University Press","JSTOR","0030-7653","1464-3812","1","1","0","1","3","0","0","1","1","10","0","2","20","15","5"
"Oxford Journal of Legal Studies","Oxford University Press","JSTOR","0143-6503","","0","0","1","5","2","0","0","0","0","2","4","8","22","19","3"
"Oxford Review of Education","Taylor &amp; Francis, Ltd. ","JSTOR","0305-4985","","3","1","6","7","3","0","0","0","0","8","0","5","33","26","5"
"Pacific Affairs","University of British Columbia","JSTOR","0030-851X","","5","33","43","71","25","3","2","5","35","51","41","52","366","284","75"
"Pacific Coast Philology","Pacific Ancient and Modern Language Association (PAMLA)","JSTOR","0078-7469","","2","15","4","31","18","0","3","3","2","8","20","34","140","115","24"
"Pacific Historical Review","University of California Press","JSTOR","0030-8684","","0","0","0","0","0","0","0","0","0","0","0","10","10","10","0"
"PAJ:  A Journal of Performance and Art","Performing Arts Journal, Inc.","JSTOR","1520-281X","","0","0","1","4","8","0","0","2","4","5","13","5","42","35","7"
"Pakistan Forum","Middle East Research and Information Project, Inc.","JSTOR","0315-7725","","0","0","5","0","0","0","0","0","0","2","0","0","7","6","1"
"PALAIOS","Society for Sedimentary Geology (SEPM)","JSTOR","0883-1351","","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0"
"Paleobiology","Paleontological Society","JSTOR","0094-8373","","2","0","6","7","7","0","0","0","3","2","6","1","34","25","9"
"Paleontological Monograph","Society for Sedimentary Geology (SEPM)","JSTOR","0197-8764","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Past and Present","Oxford University Press","JSTOR","0031-2746","","9","22","69","93","56","9","5","6","59","45","32","20","425","258","150"
"Peabody Journal of Education","Taylor &amp; Francis, Ltd. ","JSTOR","0161-956X","","0","9","9","27","8","0","0","0","6","14","14","17","104","82","18"
"Perspecta","Yale University, School of Architecture","JSTOR","0079-0958","","0","1","8","14","5","1","4","0","4","3","9","10","59","42","13"
"Perspectives in Vernacular Architecture","Vernacular Architecture Forum","JSTOR","0887-9885","","0","0","0","0","0","0","0","0","0","3","5","2","10","8","2"
"Perspectives of New Music","Perspectives of New Music","JSTOR","0031-6016","","1","0","4","0","1","0","0","0","1","4","10","33","54","50","4"
"Perspectives on Sexual and Reproductive Health","Guttmacher Institute","JSTOR","1538-6341","","1","1","2","23","38","3","2","0","1","15","55","10","151","116","35"
"Philosophical Issues","Ridgeview Publishing","JSTOR","1533-6077","","0","0","1","0","0","0","0","0","0","2","2","0","5","5","0"
"Philosophical Perspectives","Ridgeview Publishing","JSTOR","1520-8583","","0","1","0","0","0","0","0","10","7","4","27","6","55","40","14"
"Philosophical Quarterly","Blackwell Publishing","JSTOR","0031-8094","","2","15","10","6","16","2","0","2","7","14","20","29","123","96","25"
"Philosophical Review","Cornell University","JSTOR","0031-8108","","12","19","4","46","17","2","0","22","98","23","23","14","280","216","60"
"Philosophical Transactions of the Royal Society of London ","The Royal Society","JSTOR","0261-0523","","0","2","3","16","1","4","0","0","1","0","1","3","31","28","3"
"Philosophical Transactions: Biological Sciences","The Royal Society","JSTOR","0962-8436","","3","15","15","62","58","7","1","2","11","43","25","24","266","194","71"
"Philosophical Transactions: Mathematical, Physical and Engineering Sciences","The Royal Society","JSTOR","1364-503X","","0","4","3","5","5","0","0","3","2","8","6","7","43","38","5"
"Philosophy and Phenomenological Research","International Phenomenological Society","JSTOR","0031-8205","","0","8","5","10","10","2","0","1","2","20","22","31","111","80","31"
"Philosophy and Public Affairs","Princeton University Press","JSTOR","0048-3915","","0","4","0","47","11","0","0","0","4","62","38","11","177","123","50"
"Philosophy East and West","University of Hawai'i Press","JSTOR","0031-8221","","25","34","3","132","10","4","1","1","0","4","16","13","243","216","26"
"Philosophy of Science","University of Chicago Press","JSTOR","0031-8248","1539-767X","0","1","3","1","8","1","0","0","2","5","3","2","26","25","1"
"Phoenix","Classical Association of Canada","JSTOR","0031-8299","","5","35","4","19","36","5","1","2","7","20","22","17","173","143","29"
"Phylon (1960-)","Clark Atlanta University","JSTOR","0031-8906","","9","30","25","45","41","33","5","8","25","77","48","66","412","320","86"
"PMLA","Modern Language Association","JSTOR","0030-8129","","25","126","92","134","184","3","37","19","48","120","131","156","1075","883","181"
"Poetics Today","Duke University Press","JSTOR","0333-5372","1527-5507","0","2","4","11","9","0","0","0","3","18","6","10","63","51","12"
"Political Behavior","Springer Science + Business Media","JSTOR","0190-9320","","1","5","3","36","48","8","0","0","2","7","12","6","128","95","26"
"Political Research Quarterly","University of Utah","JSTOR","1065-9129","","14","34","17","87","137","12","3","5","5","33","61","22","430","333","86"
"Political Science Quarterly","Academy of Political Science","JSTOR","0032-3195","","4","45","35","95","75","8","4","2","11","48","92","32","451","357","92"
"Political Theory","Sage Publications","JSTOR","0090-5917","","12","16","12","12","15","1","4","35","9","31","59","39","245","185","58"
"Polity","Palgrave Macmillan Journals","JSTOR","0032-3497","","10","15","25","42","34","6","0","4","6","17","25","16","200","163","37"
"Popular Music","Cambridge University Press","JSTOR","0261-1430","","0","16","12","1","10","3","0","0","1","6","17","12","78","65","13"
"Population (English Edition, 2002-)","Institut National d'etudes Demographiques","JSTOR","1634-2941","","0","0","0","2","0","0","1","0","0","0","4","4","11","10","1"
"Population (French Edition)","Institut National d'etudes Demographiques","JSTOR","0032-4663","","0","8","16","7","1","11","0","2","0","4","10","9","68","54","14"
"Population and Development Review","Population Council","JSTOR","0098-7921","","105","18","34","47","24","1","8","2","7","64","32","13","355","259","88"
"Population Index","Office of Population Research","JSTOR","0032-4701","","0","0","1","0","0","0","0","0","0","1","1","2","5","4","1"
"Population Studies","Taylor &amp; Francis, Ltd. ","JSTOR","0032-4728","","0","11","12","20","7","2","0","3","0","8","6","2","71","50","20"
"Proceedings and Addresses of the American Philosophical Association","American Philosophical Association","JSTOR","0065-972X","","0","1","2","0","0","0","0","0","1","3","2","0","9","8","1"
"Proceedings of the Academy of Political Science","Academy of Political Science","JSTOR","0065-0684","","0","5","9","17","12","0","1","1","5","4","21","5","80","63","17"
"Proceedings of the American Academy for Jewish Research","American Academy for Jewish Research","JSTOR","0065-6798","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Proceedings of the American Mathematical Society","American Mathematical Society","JSTOR","0002-9939","","1","6","0","4","0","0","3","1","0","3","3","3","24","17","7"
"Proceedings of the American Philosophical Society","American Philosophical Society","JSTOR","0003-049X","","2","19","3","42","28","16","6","11","27","27","34","15","230","192","37"
"Proceedings of the American Political Science Association","American Political Science Association","JSTOR","1520-8605","","0","3","0","0","0","0","0","0","1","1","0","0","5","3","2"
"Proceedings of the National Academy of Sciences of the United States of America","National Academy of Science","JSTOR","0027-8424","","28","87","95","233","85","5","2","2","29","161","153","60","940","718","220"
"Proceedings of the Royal Anthropological Institute of Great Britain and Ireland","Royal Anthropological Institute of Great Britain and Ireland","JSTOR","0080-4169","","0","0","0","2","0","0","2","0","0","0","0","0","4","3","1"
"Proceedings of the Royal Society of London ","The Royal Society","JSTOR","0370-1662","","0","1","2","5","5","0","0","0","0","1","9","1","24","23","1"
"Proceedings: Biological Sciences","The Royal Society","JSTOR","0962-8452","","0","17","49","39","26","1","4","4","27","36","41","25","269","210","59"
"Proceedings: Mathematical, Physical and Engineering Sciences","The Royal Society","JSTOR","1364-5021","","0","2","1","1","9","0","1","0","0","1","4","5","24","22","2"
"PS: Political Science and Politics","American Political Science Association","JSTOR","1049-0965","","32","160","36","89","45","5","1","3","9","13","35","17","445","325","106"
"PSA: Proceedings of the Biennial Meeting of the Philosophy of Science Association","University of Chicago Press","JSTOR","0270-8647","","0","0","1","2","0","0","0","0","0","0","0","1","4","3","1"
"Psychological Inquiry","Taylor &amp; Francis, Ltd. ","JSTOR","1047-840X","","0","19","0","8","13","0","0","0","1","2","0","2","45","41","0"
"Public Administration Review","Blackwell Publishing","JSTOR","0033-3352","","0","4","11","29","7","2","0","2","0","5","5","15","80","68","11"
"Public Historian","University of California Press","JSTOR","0272-3433","","0","0","0","0","0","1","1","0","0","4","16","6","28","23","4"
"Public Opinion Quarterly","University of Chicago Press","JSTOR","0033-362X","","16","15","58","43","82","0","2","2","10","23","109","12","372","279","88"
"Public Performance &amp; Management Review","M.E. Sharpe, Inc.","JSTOR","1530-9576","","0","0","0","0","0","0","0","0","0","1","1","6","8","7","1"
"Publius","Oxford University Press","JSTOR","0048-5950","","0","0","0","16","23","1","0","3","0","13","11","7","74","55","17"
"Quarterly Journal of Economics","MIT Press","JSTOR","0033-5533","","7","56","12","26","12","2","3","8","15","11","6","4","162","112","41"
"Quarterly Review of Biology","University of Chicago Press","JSTOR","0033-5770","1539-7718","0","15","2","98","28","5","0","8","6","16","18","37","233","191","41"
"Radiation Research","Radiation Research Society","JSTOR","0033-7587","","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0"
"Radiation Research Supplement","Radiation Research Society","JSTOR","0485-8611","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RAND Journal of Economics","The RAND Corporation","JSTOR","0741-6261","","0","2","3","1","2","0","0","9","1","5","3","3","29","24","5"
"Reading Research Quarterly","International Reading Association","JSTOR","0034-0553","","0","0","2","0","3","0","0","0","0","0","2","0","7","7","0"
"Recent Acquisitions (Metropolitan Museum of Art)","The Metropolitan Museum of Art","JSTOR","0889-6585","","0","2","0","7","0","0","1","0","1","1","1","4","17","17","0"
"Religion and American Culture","Center for the Study of Religion and American Culture","JSTOR","1052-1151","","0","3","6","7","7","0","0","0","9","0","4","9","45","35","10"
"Renaissance Quarterly","Renaissance Society of America","JSTOR","0034-4338","","2","5","2","23","20","14","3","3","10","25","60","37","204","167","37"
"Representations","University of California Press","JSTOR","0734-6018","","55","57","11","29","72","1","4","4","24","52","66","40","415","298","102"
"Review of Agricultural Economics","American Agricultural Economics Association","JSTOR","1058-7195","","0","2","5","0","4","0","0","0","0","2","0","1","14","10","4"
"Review of Economic Studies","Review of Economic Studies, Ltd.","JSTOR","0034-6527","","0","0","8","1","1","0","0","1","3","6","5","4","29","19","10"
"Review of Economics and Statistics","MIT Press","JSTOR","0034-6535","","0","3","9","29","22","0","5","0","1","15","3","16","103","79","22"
"Review of Educational Research","American Educational Research Association","JSTOR","0034-6543","","0","20","9","53","11","1","1","0","2","22","11","6","136","117","18"
"Review of English Studies","Oxford University Press","JSTOR","0034-6551","","2","31","36","48","39","10","6","4","14","27","69","34","320","276","41"
"Review of Financial Studies","The Society for Financial Studies","JSTOR","0893-9454","","0","0","1","2","0","0","1","2","6","4","0","4","20","13","7"
"Review of Politics","University of Notre Dame du lac on behalf of Review of Politics","JSTOR","0034-6705","","6","45","19","22","32","4","0","5","6","35","67","25","266","221","43"
"Review of Religious Research","Religious Research Association, Inc.","JSTOR","0034-673X","","0","0","0","0","0","0","0","0","9","8","3","6","26","21","5"
"Review of Research in Education","American Educational Research Association","JSTOR","0091-732X","","0","2","7","2","2","1","0","0","1","7","3","5","30","24","6"
"Reviews in American History","The Johns Hopkins University Press","JSTOR","0048-7511","1080-6628","0","15","10","15","13","1","4","5","23","20","14","20","140","111","23"
"Revista Mexicana de Sociolog&iacute;a","Universidad Nacional Aut&#xf3;noma de M&#xe9;xico","JSTOR","0188-2503","","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0"
"Revue &#233;conomique","Presses de Sciences Po","JSTOR","0035-2764","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Revue de musicologie","Soci&#xe9;t&#xe9; Fran&#xe7;aise de Musicologie","JSTOR","0035-1601","","0","0","0","0","0","1","1","0","10","0","2","1","15","11","4"
"Revue Fran&#231;aise de Sociologie","Editions OPHRYS et Association Revue Fran&#xe7;aise de Sociologie","JSTOR","0035-2969","","0","0","0","2","0","1","0","0","0","1","7","0","11","9","2"
"Rhetoric Review","Taylor &amp; Francis, Ltd. ","JSTOR","0735-0198","","0","0","2","4","4","0","0","2","1","0","5","0","18","17","1"
"Ricerca Folklorica","Grafo s.p.a","JSTOR","0391-9099","","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0"
"Rocky Mountain Review of Language and Literature","Rocky Mountain Modern Language Association","JSTOR","0361-1299","","1","10","3","21","7","0","0","0","0","14","12","24","92","78","13"
"Russian Review","The Editors and Board of Trustees of the Russian Review","JSTOR","0036-0341","","64","4","16","137","83","2","0","6","37","51","8","47","455","346","95"
"Scandinavian Journal of Economics","Scandinavian Journal of Economics","JSTOR","0347-0520","","0","0","0","0","0","0","0","0","1","2","0","0","3","3","0"
"Science","American Association for the Advancement of Science","JSTOR","0036-8075","","139","306","194","533","416","45","26","69","217","254","366","193","2758","2090","633"
"Science &amp; Technology Studies","Sage Publications","JSTOR","0886-3040","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Science, Technology, &amp; Human Values","Sage Publications","JSTOR","0162-2439","","0","6","2","7","14","11","1","1","1","5","3","14","65","57","8"
"Scientific Monthly","American Association for the Advancement of Science","JSTOR","0096-3771","","9","22","11","61","67","1","0","3","13","19","23","10","239","193","42"
"Shakespeare Quarterly","Folger Shakespeare Library","JSTOR","0037-3222","1538-3555","1","113","87","115","87","8","0","0","12","67","123","52","665","596","68"
"SIAM Journal on Applied Mathematics","Society for Industrial and Applied Mathematics","JSTOR","0036-1399","","0","0","0","0","2","0","0","0","0","0","0","1","3","3","0"
"SIAM Journal on Numerical Analysis","Society for Industrial and Applied Mathematics","JSTOR","0036-1429","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SIAM Review","Society for Industrial and Applied Mathematics","JSTOR","0036-1445","","0","3","1","0","1","0","0","0","0","1","1","0","7","6","1"
"Signs","University of Chicago Press","JSTOR","0097-9740","1545-6943","76","28","42","79","72","4","10","12","20","70","125","48","586","437","139"
"Sixteenth Century Journal","Sixteenth Century Journal Publishers Inc.","JSTOR","0361-0160","","1","15","94","24","22","7","0","5","9","18","14","26","235","171","57"
"Slavic and East European Journal","American Association of Teachers of Slavic and East European Languages","JSTOR","0037-6752","","5","69","44","82","30","15","0","1","7","13","5","35","306","286","20"
"Slavic Review","American Association for the Advancement of Slavic Studies","JSTOR","0037-6779","","57","32","78","161","93","4","0","5","33","102","26","44","635","493","131"
"Social Forces","University of North Carolina Press","JSTOR","0037-7732","1534-7605","1","40","29","67","42","8","15","5","9","42","71","29","358","285","64"
