1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: English surname transferred to forename use, from the name of a place in Derbyshire which was recorded in the Domesday Book as Scelhadun, composed of Old English scylf "shelf" and the place name Haddon (from hæð "heathland, heather, wasteland" + dun "hill"), hence "steep-sided heather hill." | male. SHELDON
1: English surname transferred to forename use, from the name of a place in Devon composed of the Old English elements read "red" and leah "clearing, meadow," hence "red meadow." | male. RALEIGH
1: English surname transferred to forename use, from the name of numerous places composed of the Old English elements mor "marsh, moor," and leah "meadow, pasture," hence "marsh meadow." | male. MORLEY
1: English surname transferred to forename use, from the name of numerous places composed of the Old English elements norð "north" and tun "enclosure, settlement," hence "northern settlement." | male. NORTON
1: English surname transferred to forename use, from the name of numerous places composed of the Old English elements preost "priest" and tun "enclosure, settlement," hence "priest's settlement." | male. PRESTON
1: English surname transferred to forename use, from the name of numerous places composed of the Old English elements sand "sand" and ford "ford," hence "sandy river crossing." | male. SANFORD
1: English surname transferred to forename use, from the name of numerous places composed of the Old English elements stan "stone" and leah "clearing, meadow," hence "stony meadow." | male. STANLEY
1: English surname transferred to forename use, from the name of numerous places composed of the Old Norse elements kirkja "church" and býr "settlement," hence "church settlement." | male. KIRBY
1: English surname transferred to forename use, from the name of numerous places in England most of which were composed of the Old English elements lin "cotton, flax" and tun "enclosure, settlement," hence "cotton/flax settlement." | male. LINTON
1: English surname transferred to forename use, from the name of several places composed of the Old English elements cwen "queen" and tun "enclosure, settlement," hence "queen's settlement." Compare with another form of Quinton. | male. QUINTON
1: English surname transferred to forename use, from the name of the city of Lincoln, which was originally called Lindum colonia, meaning "lake colony." | male. LINCOLN
1: English surname transferred to forename use, from the name of various places composed of the Old English elements (ge)mæne "common, shared" and leah "meadow, pasture," hence "common meadow." Its choice as a forename is probably due to its similarity to the word manly. | male. MANLEY
1: English surname transferred to forename use, from the name of various places composed of the Old English elements hara "hare" and land "land," hence "hare's land." | male. HARLAN
1: English surname transferred to forename use, from the name of various places composed of the Old English elements norð "north" and wudu "wood," hence "north wood." | male. NORWOOD
1: English surname transferred to forename use, from the name of various places composed of the Old English elements read "red" and clif "cliff, slope, riverbank," hence "red cliff." | male. RADCLIFF
1: English surname transferred to forename use, from the name of various places composed of the Old English elements stan "stone" and ford "ford," hence "stony river crossing." | male. STANFORD
1: English surname transferred to forename use, from the name of various places composed of the Old English elements træppe "fish-trap" and ford "ford," hence "fish-trap ford." | male. TRAFFORD
1: English surname transferred to forename use, from the name of various places composed of the Old English elements wilig "willow" and tun "enclosure, settlement," hence "willow settlement." | male. WILTON
1: English surname transferred to forename use, from the name of various places, derived from Old English clif, meaning "bank, cliff, slope." | male. CLIVE
1: English surname transferred to forename use, from the name of various places derived from Old English Cynefriþestun, meaning "settlement of Cynefrið." | male. KYNASTON
1: English surname transferred to forename use, from the name of various places derived from Old English mortun, meaning "settlement on the moor." | male. MORTON
1: English surname transferred to forename use, from the name of various places most of which were composed of the Old English elements brom "broom" and dun "hill," hence "broom-covered hill." | male. BRANDON
1: English surname transferred to forename use, from the name of various places, most of which were composed of the Old Norse elements birki "birch" and skógr "wood," hence "birch wood." | male. BRISCOE
1: English surname transferred to forename use, from the Norman baronial name Saint-Maur, meaning "St Maurus." | male. SEYMOUR
1: English surname transferred to forename use, from the Norman French baronial name d'Airelle, meaning "from Airelle." | male. DARRELL
1: English surname transferred to forename use, from the Norman French baronial name d'Araines, meaning "from Araines." | male. DAREN
1: English surname transferred to forename use, from the Norman French personal name Herluin, meaning "noble friend" or "noble warrior." | male. HARLIN
1: English surname transferred to forename use, from the Norman French personal name Mauger, meaning "work-spear." | male. MAJOR
1: English surname transferred to forename use, from the Norman French word march, meaning "boundary." Compare with other forms of March. | male. MARCH
1: English surname transferred to forename use, from the Old English phrase æt ðæm byrum ("at the byres or cattle-sheds"). The name was usually given to someone whose job it was to look after cattle. | male. BYRON
1: English surname transferred to forename use, from the Old English word ford, meaning "ford, river crossing." | male. FORD
1: English surname transferred to forename use, from the Old Norman French word norreis, meaning "from the north." | male. NORRIS
1: English surname transferred to forename use, from the village of Washington in Co. Durham, named from Old English Wassingtun, meaning "Wassa's settlement." | male. WASHINGTON
1: English surname transferred to forename use, from the Welsh personal name Madog, meaning "little fortunate one" or "little good one." | male. MADDOX
1: English surname transferred to forename use, from various place names composed of the Old English elements dæl "valley" and tun "enclosure, settlement," hence "valley settlement." | male. DALTON
1: English surname transferred to forename use, from various place names composed of the Old English elements scylf "shelf" and tun "enclosure, settlement," hence "shelf settlement." | male. SHELTON
1: English surname transferred to forename use, having several possible origins: 1) from the byname Draca, meaning "snake" or "dragon." 2) from Middle English drake, meaning "male duck." 3) from Old Norse Draki, meaning "snake" or "monster." | male. DRAKE
1: English surname transferred to forename use having several possible origins: From an Old English byname for a criminal who had been "branded." For example, the surname Brendcheke "burned cheek" came from such a byname. From a habitational name derived either from Old English brant "steep" or an old British Celtic word meaning "high place." From a topographic name for someone who "lives by the ground cleared by fire," from Middle English brend, from brennan "to burn." | male. BRENT
1: English surname transferred to forename use, meaning "Ceadda's dairy farm." | male. CHADWICK
1: English surname transferred to forename use, meaning "freeman." | male. FREEMAN
1: English surname transferred to forename use, meaning "from Britain." | male. BRITTON
1: English surname transferred to forename use, meaning "heath." | male. HEATH
1: English surname transferred to forename use, meaning "lives in or by an enclosed wood." | male. FORREST
1: English surname transferred to forename use, meaning "oak meadow." | male. ACKERLEY
1: English surname transferred to forename use, meaning "oak tree settlement." | male. ACTON
1: English surname transferred to forename use, meaning "of the brook." | male. BROOKS
1: English surname transferred to forename use, meaning "red paddock" or "red yard." | male. RUDYARD
1: English surname transferred to forename use, meaning, "sea war." | male. HAVELOCK
1: English surname transferred to forename use, meaning "settlement near the headland." | male. CLINTON
1: English surname transferred to forename use, meaning "son of Ben." | male. BENSON
1: English surname, transferred to forename use, meaning "son of Daw (David)." | male. DAWSON
1: English surname transferred to forename use, meaning "son of Dye." | male. DYSON
1: English surname transferred to forename use, meaning "son of Eda." | male. EDISON
1: English surname transferred to forename use, meaning "son of Ed." | male. EDSON
1: English surname transferred to forename use, meaning "son of Emery." | male. EMERSON
1: English surname transferred to forename use, meaning "son of Harry." | male. HARRISON
1: English surname transferred to forename use, meaning "son of Hudde." | male. HUDSON
1: English surname transferred to forename use, meaning "son of Jeffrey." | male. JEFFERSON
1: English surname transferred to forename use, meaning "son of Law." | male. LAWSON
1: English surname transferred to forename use, meaning "son of Otto." | male. OTIS
1: English surname transferred to forename use, meaning "son of Will." | male. WILLIS
1: English surname transferred to forename use, meaning "stone-enclosed valley." | male. ANSCOM
1: English surname transferred to forename use, meaning "Tate's homestead." | female. TATUM
1: English surname transferred to forename use, meaning "Trent's settlement." | male. TRENTON
1: English surname transferred to forename use, originally a byname for someone or something "round and lumpy." | male. CADE
1: English surname transferred to forename use, originally a byname for someone who "lives in a dell/hollow." | male. DELL
1: English surname transferred to forename use, originally an English and Scottish name for someone who "lives near a church," derived from the Old Norse word kirkja, meaning "church." | male. KIRK
1: English surname transferred to forename use, originally a Norman baronial name composed of Old French mont "hill" and Germanic Morency, hence "hill of Morency." | male. MONTMORENCY
1: English surname transferred to forename use, originally a Norman baronial name composed of Old French mont "hill" and the Germanic personal name Gomeric, hence "hill of Gomeric." | male. MONTGOMERY
1: English surname transferred to forename use, originally a Norman baronial name composed of the Old French elements mont "hill, mountain" and aigu "pointed," hence "pointed mountain." | male. MONTAGUE
1: English surname transferred to forename use, originally a Norman French baronial name derived from the Gallo-Roman personal name Persius (probably meaning "soldier"), but reanalyzed as a compound of Old French perce(r) "pierced" and haie "hedge," hence "pierced hedge." The name is often used as a pet form of Percival, meaning "pierced valley." | male. PERCY
1: English surname transferred to forename use, originally a Norman French diminutive form of Old French Élie, meaning "the Lord is my God." | male. ELLIOT
1: English surname transferred to forename use, originally a short form of Germanic names containing the element gar, meaning "spear." | male. GARY
1: English surname transferred to forename use, originally denoting a female "dyer," but by the time it became a personal name it had already become strongly associated with Latin dexter "auspicious, right-handed," and was usually chosen as a name because of this. | male. DEXTER
1: English surname transferred to forename use, possibly a corruption of the French surname Guillemot, from Guillaume (English William), meaning "will-helmet." | male. WILMOT
1: English surname transferred to forename use, possibly composed of the Old English elements ellern "elder tree" and wudu "wood," hence "elder tree forest." | male. ELWOOD
1: English surname transferred to forename use, possibly derived from a Norman byname for a "stubborn" person. | male. TYRRELL
1: English surname transferred to forename use, possibly originally a habitational name derived from a place named from Old Norse gafl, meaning "gable," a term used to denote a "triangular-shaped hill." | male. GABLE
1: English surname transferred to forename use, possibly originally a nickname for Anglo-Saxon names containing the element dæg, meaning "day," such as Dægberht and Dægmund. | male. DAYE
1: English surname transferred to forename use, probably derived from a Middle English personal name composed of the Old English elements deor "dear" and wine "friend," hence "dear friend." | male. DARWIN
1: English surname transferred to forename use, probably derived from the Middle English personal name Cenric, meaning "keen power." | male. KENDRICK
1: English surname transferred to forename use, probably from the Old French place name Beauvais, in Oise, France which got its name from the Belgic tribe of the Bellovaci (Belovasci) that some say is the name of the Fir Bolg (the ancient Irish "shining ones") of Celtic mythology. | male. BEVIS
1: English surname transferred to forename use, probably from the place name Calder in Cumbria, composed of the Welsh elements caled "hard; violent," and dwfr "stream, water," hence "violent water." | male. CALDER
1: English surname transferred to forename use, probably from the place name Keaton in Ermington, Devon, composed of the Cornish word kee "bank, hedge" and Old English tun "settlement," hence "settlement on the bank." | male. KEATON
1: English surname transferred to forename use, probably of Norman French origin, meaning "from Ardern." | male. DARDEN
1: English surname transferred to forename use, probably ultimately from Old Norse Thorsteinn, meaning "Thor's stone." | male. DUSTIN
1: English surname transferred to unisex forename use, composed of the Old English elements æsc "ash" and lēah "wood," hence "ash-tree grove." | male. ASHLEY
1: English surname transferred to unisex forename use, composed of the Old English elements derne "hidden, secret" and halh "nook," hence "hidden/secret nook." | female. DARNELL
1: English surname transferred to unisex forename use, composed of the Old English elements derne "hidden, secret" and halh "nook," hence "hidden/secret nook." | male. DARNELL
1: English surname transferred to unisex forename use, composed of the Old English elements hæð "heathland, heather, wasteland" and leah "clearing, field, meadow" hence "heather meadow." | female. HADLEY
1: English surname transferred to unisex forename use, composed of the Old English elements hæð "heathland, heather, wasteland" and leah "clearing, field, meadow" hence "heather meadow." | male. HADLEY
1: English surname transferred to unisex forename use, composed of the Old English elements heorot "hart, male deer" and leah "meadow, pasture," hence "deer meadow." | female. HARTLEY
1: English surname transferred to unisex forename use, composed of the Old English elements heorot "hart, male deer" and leah "meadow, pasture," hence "deer meadow." | female. HARTLEY
1: English surname transferred to unisex forename use, composed of the Old English elements heorot "hart, male deer" and leah "meadow, pasture," hence "deer meadow." | male. HARTLEY
1: English surname transferred to unisex forename use, composed of the Old English elements leac "leek" and tun "enclosure, settlement," hence "leek garden." | female. LEIGHTON
1: English surname transferred to unisex forename use, composed of the Old English elements leac "leek" and tun "enclosure, settlement," hence "leek garden." | male. LEIGHTON
1: English surname transferred to unisex forename use, denoting someone "from London." The name may have pre-Celtic roots, meaning something like "place at the unfordable river." | female. LONDON
1: English surname transferred to unisex forename use, denoting someone "from London." The name may have pre-Celtic roots, meaning something like "place at the unfordable river." | male. LONDON
1: English surname transferred to unisex forename use, denoting someone who "lives by a meadow." | female. MEAD
1: English surname transferred to unisex forename use, denoting someone who "lives by a meadow." | male. MEAD
1: English surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Caiside, "descendant of Caiside," hence "curly(-headed)." | male. CASSIDY
1: English surname transferred to unisex forename use, derived from a Norman French byname for an unfortunate person, from Old French malheure, meaning "unfortunate, unhappy, unlucky." | female. MALLORY
1: English surname transferred to unisex forename use, derived from a Norman French byname for an unfortunate person, from Old French malheure, meaning "unfortunate, unhappy, unlucky." | male. MALLORY
1: English surname transferred to unisex forename use, derived from a place name composed of the Middle English elements schele "hut" and by "farm, settlement," hence "settlement of huts." | female. SHELBY
1: English surname transferred to unisex forename use, derived from a place name composed of the Middle English elements schele "hut" and by "farm, settlement," hence "settlement of huts." | male. SHELBY
1: English surname transferred to unisex forename use, derived from a place name composed of the Old English elements ryge "rye" and leah "clearing, meadow," hence "rye meadow." | male. RILEY
1: English surname transferred to unisex forename use, derived from a place name composed of the Old Norse elements selja "willow" and býr "farm, settlement," hence "willow settlement." | female. SELBY
1: English surname transferred to unisex forename use, derived from a place name composed of the Old Norse elements selja "willow" and býr "farm, settlement," hence "willow settlement." | male. SELBY
1: English surname transferred to unisex forename use, derived from a status name for a young boy who was apprenticed to a knight, hence "page; young servant." | female. PAGE
1: English surname transferred to unisex forename use, derived from a status name for a young boy who was apprenticed to a knight, hence "page; young servant." | male. PAGE
1: English surname transferred to unisex forename use, derived from the French baronial name Courtenay, from the byname court nez, meaning "short nose." | male. COURTNEY
1: English surname transferred to unisex forename use, derived from the Middle English personal name Alfred, meaning "elf counsel." | female. AVERY
1: English surname transferred to unisex forename use, derived from the name of various places meaning "clearing near a ledge/slope." | female. SHELLEY
1: English surname transferred to unisex forename use, derived from the name of various places meaning "clearing near a ledge/slope." | male. SHELLEY
1: English surname transferred to unisex forename use, derived from the Norman French personal name Aveline, meaning "little Eve." Compare with strictly feminine Evelyn. | male. EVELYN
1: English surname transferred to unisex forename use, derived from the Old Anglo-Saxon personal name Céolsige, meaning "ship-victory." | female. KELSEY
1: English surname transferred to unisex forename use, derived from the Old Anglo-Saxon personal name Céolsige, meaning "ship-victory." | male. KELSEY
1: English surname transferred to unisex forename use, derived from the Old French personal name Joscelin, meaning "Gaut." | female. JOCELYN
1: English surname transferred to unisex forename use, derived from the Old French personal name Joscelin, meaning "Gaut." | male. JOCELYN
1: English surname transferred to unisex forename use, derived from the personal name Meriel, meaning "sea-bright." | female. MERRILL
1: English surname transferred to unisex forename use, derived from the personal name Meriel, meaning "sea-bright." | male. MERRILL
1: English surname transferred to unisex forename use, derived from the Scottish place name Dalfhas, composed of the Gaelic elements dail "meadow" and fhas "stance," hence "meadow stance," i.e. a meadow used by cattle droves as an overnight dwelling. | female. DALLAS
1: English surname transferred to unisex forename use, derived from the Scottish place name Dalfhas, composed of the Gaelic elements dail "meadow" and fhas "stance," hence "meadow stance," i.e. a meadow used by cattle droves as an overnight dwelling. | male. DALLAS
1: English surname transferred to unisex forename use, derived from the Welsh masculine personal name Cynddelw, meaning "exalted effigy." | female. KENDALL
1: English surname transferred to unisex forename use, derived from the Welsh masculine personal name Cynddelw, meaning "exalted effigy." | male. KENDALL
1: English surname transferred to unisex forename use, from a Norman baronial name from Saint-Denis in France, meaning "St Denis." | female. SIDNEY
1: English surname transferred to unisex forename use, from a Norman baronial name from Saint-Denis in France, meaning "St Denis." | male. SIDNEY
1: English surname transferred to unisex forename use, from a Norman baronial name meaning "place of Thracius." | female. TRACY
1: English surname transferred to unisex forename use, from a Norman baronial name meaning "place of Thracius." | male. TRACY
1: English surname transferred to unisex forename use, from a place name composed of Old English Pæga and the word tun "enclosure, settlement," hence "Pæga's settlement." | female. PAYTON
1: English surname transferred to unisex forename use, from a place name composed of the Old English elements ryge "rye" and leah "clearing, meadow," hence "rye meadow." | female. RILEY
1: English surname transferred to unisex forename use, from a variant form of the surname Massey which was originally a pet form of Matthew, meaning "gift of God." | female. MACEY
1: English surname transferred to unisex forename use, from a variant spelling of the surname Massey which was originally a pet form of Matthew, meaning "gift of God." | male. MACEY
1: English surname transferred to unisex forename use, from Old English broc, meaning "brook, stream." | female. BROOK
1: English surname transferred to unisex forename use, from Old English broc, meaning "brook, stream." | male. BROOK
1: English surname transferred to unisex forename use, from Old English holegn "holly" denoting someone who "lives near holly trees." | female. HOLLIS
1: English surname transferred to unisex forename use, from Old English holegn "holly" denoting someone who "lives near holly trees." | male. HOLLIS
1: English surname transferred to unisex forename use, from the French baronial name Courtenay, from the nickname court nez, meaning "short nose." | female. COURTNEY
1: English surname transferred to unisex forename use, from the name of a place composed of the Old English name Pæga and the word tun "enclosure, settlement," hence "Pæga's settlement." | male. PAYTON
1: English surname transferred to unisex forename use, from the name of a South African town first brought to the public's notice by the Boer War in the 19th century. The town was named for Lord Kimberley whose ancestors derived their name from a place in England composed of the Old English elements cyne "king," burg "city" and leah "meadow, pasture," hence "King's City Meadow." | female. KIMBERLEY
1: English surname transferred to unisex forename use, from the name of a South African town first brought to the public's notice by the Boer War in the 19th century. The town was named for Lord Kimberley whose ancestors derived their name from a place in England composed of the Old English elements cyne "king," burg "city" and leah "meadow, pasture," hence "King's City Meadow." | male. KIMBERLEY
1: English surname transferred to unisex forename use, from the name of various places called Cyningesleah, composed of the Old English elements cyne "king," and leah "meadow, pasture," hence "king's meadow." | female. KINGSLEY
1: English surname transferred to unisex forename use, from the name of various places called Cyningesleah, composed of the Old English elements cyne "king," and leah "meadow, pasture," hence "king's meadow." | male. KINGSLEY
1: English surname transferred to unisex forename use, from the name of various places composed of the Old English elements ripel "strip of land" and leah "clearing, meadow," hence "cleared strip of land." | female. RIPLEY
1: English surname transferred to unisex forename use, from the name of various places composed of the Old English elements ripel "strip of land" and leah "clearing, meadow," hence "cleared strip of land." | male. RIPLEY
1: English surname transferred to unisex forename use, from the Old English term moere gaet, meaning "boundary gate." | female. MERRITT
1: English surname transferred to unisex forename use, from the Old English term moere gaet, meaning "boundary gate." | male. MERRITT
1: English surname transferred to unisex forename use, from the Old English word leah, meaning "meadow." | female. LEE
1: English surname transferred to unisex forename use, from the Old English word leah, meaning "meadow." | male. LEE
1: English surname transferred to unisex forename use, meaning "cheerful." | female. TATE
1: English surname transferred to unisex forename use, meaning "cheerful." | male. TATE
1: English surname transferred to unisex forename use, meaning "dale, valley." | female. DALE
1: English surname transferred to unisex forename use, meaning "dale, valley." | male. DALE
1: English surname transferred to unisex forename use, meaning "from Arcy." | female. DARCY
1: English surname transferred to unisex forename use, meaning "from Arcy." | male. DARCY
1: English surname transferred to unisex forename use, meaning "garnet (the gem)," derived from a Middle English altered form of Old French (pome) grenate, "fruit full of seeds," the same source from which came the name of the precious stone. | female. GARNET
1: English surname transferred to unisex forename use, meaning "garnet (the gem)," derived from a Middle English altered form of Old French (pome) grenate, "fruit full of seeds," the same source from which came the name of the precious stone. | male. GARNET
1: English surname transferred to unisex forename use, meaning "son of Madde." | female. MADISON
1: English surname transferred to unisex forename use, meaning "son of Madde." | male. MADISON
1: English surname transferred to unisex forename use, originally a Norman French form of Middle English Alfred, meaning "elf counsel." | male. AVERY
1: English surname transferred to unisex forename use, possibly a corruption of Derby, a shire of England, so called from doire, meaning "a forest abounding in deer." | female. DARBY
1: English surname transferred to unisex forename use, possibly a corruption of Derby, a shire of England, so called from doire, meaning "a forest abounding in deer." | male. DARBY
1: English surname transferred to unisex forename use, possibly meaning "from Denmark." Compare with other forms of Dana. | female. DANA
1: English surname transferred to unisex forename use, possibly meaning "from Denmark." | male. DANA
1: English topographical surname transferred to forename use, meaning "lives near the river crossing."Middle English form of Anglo-Saxon Wada (the name of a sea giant), meaning "to go," in the sense of going forward, proceeding. | male. WADE
1: English topographic surname transferred to forename use, derived from Middle English atten ash ("at the ash"), hence "lives by an ash tree." | male. NASH
1: English topographic surname transferred to forename use, derived from Old English lane "narrow pathway," hence "lives by a lane." | male. LANE
1: English topographic surname transferred to forename use, derived from the Old English word fenn "fen," hence "lives by a fen/marsh." | male. VANCE
1: English topographic surname transferred to forename use, from the American spelling of the French surname Garrigue, from Old Provençal garrique, meaning "grove of holm oaks." Compare with another form of Garrick. | male. GARRICK
1: English topographic surname transferred to forename use, meaning "lives on the river-bank." | male. TRENT
1: English unisex name composed of the Old English elements heg "hay" and denu "valley," hence "hay valley." | female. HAYDEN
1: English unisex name composed of the Old English elements heg "hay" and denu "valley," hence "hay valley." | male. HAYDEN
1: English unisex name derived from a Middle English and Old French byname for a fair-minded person, meaning "equity, justice." | female. JUSTICE
1: English unisex name derived from a Middle English and Old French byname for a fair-minded person, meaning "equity, justice." | male. JUSTICE
1: English unisex name derived from a place name, meaning "ash tree settlement." | female. ASHTON
1: English unisex name derived from a place name meaning "eagle valley." | female. ARDEN
1: English unisex name derived from a place name meaning "east settlement." | female. ASTON
1: English unisex name derived from Latin Angelus, meaning "angel, messenger." Once used as a man's name in England. It is now almost strictly a feminine name. | male. ANGEL
1: English unisex name derived from Latin Angelus, meaning "angel, messenger." Originally a male name, it is now almost strictly female. | female. ANGEL
1: English unisex name derived from Latin orare, meaning "to pray." Compare with another form of Ora. | female. ORA
1: English unisex name derived from Latin orare, meaning "to pray." Compare with strictly feminine Ora. | male. ORA
1: English unisex name derived from Middle English haven (Old English hæfen), meaning "haven, refuge." | female. HAVEN
1: English unisex name derived from Middle English haven (Old English hæfen), meaning "haven, refuge." | male. HAVEN
1: English unisex name derived from Roman Latin Darius, meaning "possesses a lot, wealthy." | female. DARIAN
1: English unisex name derived from Roman Latin Darius, meaning "possesses a lot, wealthy." | male. DARIAN
1: English unisex name derived from the American state name, meaning "land of the Indians." | female. INDIANA
1: English unisex name derived from the American state name, meaning "land of the Indians." | male. INDIANA
1: English unisex name derived from the bird name raven, from Old English hræfn, so-called from the harsh sounds it makes. | female. RAVEN
1: English unisex name derived from the bird name, raven, from Old English hræfn, so-called from the harsh sounds it makes. | male. RAVEN
1: English unisex name derived from the bird name "sparrow." | female. SPARROW
1: English unisex name derived from the bird name "sparrow." | male. SPARROW
1: English unisex name derived from the county name, from a British tribal name meaning "worshiper of the god Dumnonos." | female. DEVON
1: English unisex name derived from the county name, from a British tribal name, meaning "worshiper of the god Dumnonos." | male. DEVON
1: English unisex name derived from the first letter of the Greek alphabet. | female. ALPHA (Άλφα)
1: English unisex name derived from the first letter of the Greek alphabet. | male. ALPHA (Άλφα)
1: English unisex name derived from the Gaelic surname Ó Caiside, "descendant of Caiside," hence "curly(-headed)." | female. CASSIDY
1: English unisex name derived from the holiday name "Easter," which is related to Old English Eosturmónaþ/Eastermónaþ, meaning "April." | female. EASTER
1: English unisex name derived from the holiday name "Easter," which is related to Old English Eosturmónaþ/Eastermónaþ, meaning "April." | male. EASTER
1: English unisex name, derived from the Italian word bambino, meaning "child." | female. BAMBI
1: English unisex name, derived from the Italian word bambino, meaning "child." | male. BAMBI
1: English unisex name derived from the last letter of the Greek alphabet. This name was used occasionally by Victorian parents for a "last-born child." | female. OMEGA (Ωμέγα)
1: English unisex name derived from the last letter of the Greek alphabet. This name was used occasionally by Victorian parents for a "last-born child." | male. OMEGA (Ωμέγα)
1: English unisex name derived from the Latin word lux, meaning "light." | female. LUX
1: English unisex name derived from the Latin word lux, meaning "light." | male. LUX
1: English unisex name derived from the month name, which was originally the seventh month of the Roman year, meaning "seventh." | female. SEPTEMBER
1: English unisex name derived from the month name, which was originally the seventh month of the Roman year, meaning "seventh." | male. SEPTEMBER
1: English unisex name derived from the name of an Irish county, Ciarraí, meaning "Ciar's people." Compare with strictly feminine Kerry. | male. KERRY
1: English unisex name derived from the name of an Irish county, Ciarraí, meaning "Ciar's people." Variant spelling of English Carrie, meaning "man." | female. KERRY
1: English unisex name derived from the name of a perennial herb, "sorrel," from Old French surele, from Frankish *sur, meaning "sour." | female. SORREL
1: English unisex name derived from the name of a perennial herb, "sorrel," from Old French surele, from Frankish *sur, meaning "sour." | male. SORREL
1: English unisex name derived from the name of a river in Ireland, composed of the Gaelic elements sean "old, wise" and abhann "river," hence "old river" or "river of wisdom." | female. SHANNON
1: English unisex name derived from the name of a river in Ireland, composed of the Gaelic elements sean "old, wise" and abhann "river," hence "old river" or "river of wisdom." | male. SHANNON
1: English unisex name derived from the name of the continent, possibly derived from Assyrian asu, meaning "east." Compare with another form of Asia. | female. ASIA
1: English unisex name derived from the name of the continent, which was possibly derived from Assyrian asu, meaning "east." | male. ASIA
1: English unisex name derived from the name of the Native American people, from Dakota Sioux � ahíyena, meaning "little � ahíya" or "little red-talker." | female. CHEYENNE
1: English unisex name derived from the name of the Native American people, from Dakota Sioux � ahíyena, meaning "little � ahíya" or "little red-talker." | male. CHEYENNE
1: English unisex name derived from the name of the precious stone, meaning "jade." | female. JADE
1: English unisex name derived from the name of the precious stone, meaning "jade." | male. JADE
1: English unisex name derived from the name of the "Salal berry plant" used in making jams and jellies. | female. SALAL
1: English unisex name derived from the name of the "Salal berry plant" used in making jams and jellies. | male. SALAL
1: English unisex name derived from the name that the Native American Sioux people call themselves, meaning "allies." | male. DAKOTA
1: English unisex name derived from the name that the Sioux people call themselves, literally meaning "allies." | female. DAKOTA
1: English unisex name, derived from the Old French word merle, meaning "blackbird." It first came to public notice in the 1930s with the actress Merle Oberon, and is mostly given to girls. | female. MERLE
1: English unisex name, derived from the Old French word merle, meaning "blackbird." It first came to public notice in the 1930s with the actress Merle Oberon, and is mostly given to girls. | male. MERLE
1: English unisex name derived from the plant name briar, from Old English brer, meaning "prickly bush." | female. BRIAR
1: English unisex name derived from the plant name briar, from Old English brer, meaning "prickly bush." | male. BRIAR
1: English unisex name derived from the season name, from Latin autumnus, thought to be of Etruscan origin. Harvest was the original English name for the season; Autumn replaced it in the 16th century. | female. AUTUMN
1: English unisex name derived from the season name, from Latin autumnus, thought to be of Etruscan origin. Harvest was the original English name for the season; Autumn replaced it in the 16th century. | male. AUTUMN
1: English unisex name derived from the Spanish word for "river." | female. RIO
1: English unisex name derived from the Spanish word for "river." | male. RIO
1: English unisex name derived from the U.S. state name, meaning "snow-capped." | female. NEVADA
1: English unisex name derived from the U.S. state name, meaning "snow-capped." | male. NEVADA
1: English unisex name derived from the vocabulary word, from Latin cadens "to fall," hence "flow of rhythm." | female. CADENCE
1: English unisex name derived from the vocabulary word, from Latin cadens "to fall," hence "flow of rhythm." | male. CADENCE
1: English unisex name derived from the vocabulary word, from Latin Oceanus, from Greek Okeanos, meaning "ocean." | female. OCEAN
1: English unisex name derived from the vocabulary word, from Latin oceanus, from Greek okeanos, meaning "ocean." | male. OCEAN
1: English unisex name derived from the vocabulary word, from Old English lawcere, meaning "song-bird." | female. LARK
1: English unisex name derived from the vocabulary word, from Old English lawcere, meaning "song-bird." | male. LARK
1: English unisex name derived from the vocabulary word gale, meaning "sea storm." Compare with strictly feminine Gale. | male. GALE
1: English unisex name derived from the vocabulary word gale, meaning "sea storm." Variant spelling of English Gail, meaning "father rejoices." | female. GALE
1: English unisex name derived from the vocabulary word, meaning "chance." | female. CHANCE
1: English unisex name derived from the vocabulary word, meaning "chance." | male. CHANCE
1: English unisex name derived from the vocabulary word, meaning "cheerful, sunny." | female. SUNNY
1: English unisex name derived from the vocabulary word, meaning "cheerful, sunny." | male. SUNNY
1: English unisex name derived from the vocabulary word, meaning "diamond" for girls and "bright protector" for boys. This is the birthstone for the month of April. | female. DIAMOND
1: English unisex name derived from the vocabulary word, meaning "diamond" for girls and "bright protector" for boys. This is the birthstone for the month of April. | male. DIAMOND
1: English unisex name derived from the vocabulary word, meaning "happy." Compare with Gay and Merry. | female. HAPPY
1: English unisex name derived from the vocabulary word, meaning "happy." Compare with Gay and Merry. | male. HAPPY
1: English unisex name derived from the vocabulary word, meaning simply "wisdom." | female. WISDOM
1: English unisex name derived from the vocabulary word, meaning simply "wisdom." Wisdom is composed of Wis- from the word wise, from proto-Germanic *wisaz "to know" from PIE wittos "to see," and -dom, from Latin domus, from PIE domo "house." | male. WISDOM
1: English unisex name derived from the vocabulary word meaning "snow squall." | female. FLURRY
1: English unisex name derived from the vocabulary word meaning "snow squall." | male. FLURRY
1: English unisex name derived from the vocabulary word "sky," from Old Norse sky, meaning "cloud." | female. SKY
1: English unisex name derived from the vocabulary word "sky," from Old Norse sky, meaning "cloud." | male. SKY
1: English unisex name derived from the vocabulary word, "spirit," from Latin spiritus, "breath," from PIE (s)peis "to blow." Both blow ("to move air") and blow ("blossom") ultimately derive from proto-Germanic *blæ, from PIE *bhle, meaning "to bloom, to blow up, swell, thrive." | female. SPIRIT
