AGAF|Afutara Airport|Afutara
LFEW|Saulieu Liernais Airport|Saulieu
LFEX|Nancy Azelot Airport|Nancy
LFEY|Île d'Yeu Airport|Île d'Yeu
LFEZ|Nancy Malzeville Airport|Nancy
LFFB|Buno Bonnevaux Airport|Buno
LFFC|Mantes Cherence Airport|Mantes
LFFD|Saint-André-de-l'Eure Airport|Saint-André-de-l'Eure
LFFE|Enghien Moisselles Airport|Enghien
LFFG|La Ferté-Gaucher Airport|La Ferté-Gaucher
LFFH|Château-Thierry Belleau Airport|Château-Thierry
LFFI|Ancenis Airport|Ancenis
LFFJ|Joinville Mussey Airport|Joinville
LFFK|Fontenay-le-Comte Airport|Fontenay-le-Comte
LFFL|Bailleau-Armenonville Airport|Bailleau-Armenonville
LFFM|Lamotte-Beuvron Airport|Lamotte-Beuvron
LFFN|Brienne-le-Château Airport|Brienne-le-Château
LFFP|Pithiviers Airport|Pithiviers
LFFQ|La Ferté-Alais Airport|La Ferté-Alais
LFFR|Bar-sur-Seine Airport|Bar-sur-Seine
LFFT|Neufchateau Rouceux Airport|Neufchâteau
LFFU|Châteauneuf-sur-Cher Airport|Châteauneuf-sur-Cher
LFFV|Vierzon Mereau Airport|Vierzon
LFFW|Montaigu saint georges Airport|Montaigu
LFFX|Tournus Cruisery Airport|Tournus
LFFY|Etrepagny Airport|Etrepagny
LFFZ|Sézanne Saint-Remy Airport|Sézanne
LFGA|Colmar Houssen Airport|Colmar
LFGB|Mulhouse Habsheim Airport|Mulhouse
LFGC|Strasbourg Neuhof Airport|Strasbourg
LFGD|Arbois Airport|Arbois
LFGE|Avallon Airport|Avallon
LFGF|Beaune Challanges Airport|Beaune
LFGG|Belfort Chaux Airport|Belfort
LFGH|Cosne-sur-Loire Airport|Cosne-Cours-sur-Loire
LFGI|Dijon Darois Airport|Dijon
LFGJ|Dôle-Tavaux Airport|Dole
LFGK|Joigny Airport|Joigny
LFGL|Lons-le-Saunier Courlaoux Airport|Lons-le-Saunier
LFGM|Montceau-les-Mines Pouilloux Airport|Montceau-les-Mines
LFGN|Paray-le-Monial Airport|Paray-le-Monial
LFGO|Pont-sur-Yonne Airport|Pont-sur-Yonne
LFGP|Saint-Florentin Cheu Airport|Saint-Florentin
LFGQ|Semur-en-Auxois Airport|Semur-en-Auxois
LFGR|Doncourt-lès-Conflans Airport|Doncourt-lès-Conflans
LFGS|Longuyon Villette Airport|Longuyon
LFGT|Sarrebourg Buhl Airport|Sarrebourg
LFGU|Sarreguemines Neunkirch Airport|Sarreguemines
LFGV|Thionville Yutz Airport|Thionville
LFGW|Verdun Le Rozelier Airport|Verdun
LFGX|Champagnole Crotenay Airport|Champagnole
LFGY|Saint-Dié Remomeix Airport|Saint-Dié
LFGZ|Nuits-Saint-Georges Airport|Nuits-Saint-Georges
LFHA|Issoire Le Broc Airport|Issoire
LFHC|Pérouges Meximieux Airport|Pérouges
LFHD|Pierrelate Airport|Pierrelatte
LFHE|Romans Saint-Paul Airport|Romans-sur-Isère
LFHF|Ruoms Airport|Ruoms
LFHG|Saint-Chamond L'Horme Airport|Saint-Chamond
LFHH|Vienne Reventin Airport|Vienne
LFHI|Morestel Airport|Morestel
LFHJ|Lyon Corbas Airport|Lyon
LFHL|Langogne Lesperon Airport|Langogne
LFHM|Megève Airport|Megève
LFHN|Bellegarde Vouvray Airport|Bellegarde
LFHO|Aubenas Ardeche Meridionale Airport|Aubenas
LFHP|Le Puy Loudes Airport|Le Puy-en-Velay
LFHQ|Saint-Flour Coltines Airport|Saint-Flour
LFHR|Brioude Beaumont Airport|Brioude
LFHS|Bourg Ceyzeriat Airport|Bourg-en-Bresse
LFHT|Ambert Le Poyet Airport|Ambert
LFHU|LL'Alpe d'Huez Airport|L'Alpe d'Huez
LFHV|Villefranche Tarare Airport|Tarare
LFHW|Belleville Villie Morgon Airport|Belleville, Rhône
LFHX|Lapalisse Perigny Airport|Lapalisse
LFHY|Moulins Montbeugny Airport|Moulins
LFHZ|Sallanches Mont-Blanc Airport|Sallanches
LFIB|Belvès Saint-Pardoux Airport|Belvès
LFID|Condom Valence-sur-Baise Airport|Condom
LFIF|SSaint-Affrique Belmont Airport|Saint-Affrique
LFIG|Cassagnes Beghones Airport|Cassagnes-Bégonhès
LFIH|Chalais Airport|Chalais
LFIK|Ribérac Saint-Aulaye Airport|Ribérac
LFIL|Rion-des-Landes Airport|Rion-des-Landes
LFIM|Saint-Gaudens Montrejeau Airport|Saint-Gaudens
LFIO|Toulouse-Montaudran Airport|Toulouse-Montaudran
LFIP|Peyresourde Balestas Airport|Peyresourde
LFIR|Revel Montgey Airport|Revel
LFIT|Toulouse Bourg-Saint-Bernard Airport|Toulouse
LFIV|Vendays-Montalivet Airport|Vendays-Montalivet
LFIX|Itxassou Airport|Itxassou
LFIY|Saint-Jean-d'Angély Airport|Saint-Jean-d'Angély
LFJA|Chaumont Semoutiers Airport|Chaumont
LFJB|Mauléon Airport|Mauléon
LFJC|Clamecy Airport|Clamecy
LFJD|Corlier Aerodrome|Corlier
LFJE|La Motte-Chalancon Airport|La Motte-Chalancon
LFJF|Aubenasson Airport|Aubenasson
LFJH|Cazeres Palaminy Airport|Cazères
LFJI|Marennes Airport|Marennes
LFJL|Metz Nancy Lorraine Airport|Metz
LFJR|Angers - Loire Airport|Angers
LFJS|Soissons Courmelles Airport|Soissons
LFJT|Tours Le Louroux Airport|Tours
LFJU|Lurcy Levis Airport|Lurcy
LFKA|Albertville Airport|Albertville
LFKB|Bastia Poretta Airport|Bastia
LFKC|Calvi Sainte-Catherine Airport|Calvi
LFKD|Sollières-Sardières Airport|Sollières-Sardières
LFKE|Saint-Jean-en-Royans Airport|Saint-Jean-en-Royans
LFKF|Figari Sud Corse Airport|Figari
LFKG|Ghisonaccia Alzitone Airport|Ghisonaccia
LFKH|Saint-Jean-d'Avelanne Airport|Saint-Jean-d'Avelanne
LFKJ|Ajaccio Campo dell'Oro Airport|Ajaccio
LFKL|Lyon Brindas Airport|Lyon
LFKM|Saint Galmier Airport|Saint-Galmier
LFKO|Propriano Airport|Propriano
LFKP|La Tour-du-Pin Cessieu Airport|La Tour-du-Pin
LFKS|Solenzara Airport|Solenzara
LFKT|Corte Airport|Corte
LFKX|Meribel Bois-des-Fraisses Airport|Méribel
LFKY|Belley Peyrieu Airport|Belley
LFKZ|Saint-Claude Pratz Airport|Saint-Claude
LFLA|Auxerre Branches Airport|Auxerre
LFLB|Chambéry Aix-les-Bains Airport|Chambéry, Aix-les-Bains
LFLC|Clermont-Ferrand Auvergne Airport|Clermont-Ferrand
LFLD|Bourges Airport|Bourges
LFLE|Chambery Challes-les-Eaux Airport|Chambéry
LFLG|Grenoble - Le Versoud Aerodrome|Grenoble
LFLH|Chalon Champforgeuil Airport|Chalon
LFLI|Annemasse Airport|Annemasse
LFLJ|Courchevel Airport|Courchevel
LFLK|Oyonnax Arbent Airport|Oyonnax
LFLL|Lyon-Saint Exupéry Airport (formerly Satolas Airport)|Lyon
LFLM|Mâcon Charnay Airport|Mâcon
LFLN|Saint-Yan Airport|Saint-Yan
LFLO|Roanne Renaison Airport|Roanne
LFLP|Annecy Meythet Airport|Annecy
LFLQ|Montélimar Ancone Airport|Montélimar
LFLR|Saint-Rambert-d'Albon Airport|Saint-Rambert-d'Albon
LFLS|Grenoble Saint-Geoirs Airport|Grenoble
LFLT|Montluçon Domerat Airport|Montluçon
LFLU|Valence Chabeuil Airport|Valence
LFLV|Vichy Charmeil Airport|Vichy
LFLW|Aurillac Airport|Aurillac
LFLX|Châteauroux-Déols Airport|Châteauroux, Déols
LFLY|Lyon Bron Airport|Lyon
LFLZ|Feurs Chambeon Airport|Feurs
LFMA|Aix Les Milles Airport|Aix-les-Milles
LFMC|Le Luc - Le Cannet Airport|Le Luc
LFMD|Cannes Mandelieu Airport|Cannes
LFME|Nimes Courbessac Airport|Nîmes
LFMF|Fayence-Tourrettes Airfield|Fayence
LFMG|La Montagne Noire Airport|La Montagne Noire
LFMH|Saint-Étienne Bouthéon Airport|Saint-Étienne
LFMI|Istres Le Tube Airport|Istres
LFMK|Carcassonne Salvaza Airport|Carcassonne
LFML|Marseille Provence Airport|Marseille
LFMM|Marseille FIR|Aix-en-Provence
LFMN|Nice Côte d'Azur Airport|Nice
LFMO|Orange Caritat Airport|Orange
LFMP|Perpignan Rivesaltes Airport|Perpignan
LFMQ|Le Castellet Airport|Le Castellet
LFMR|Barcelonnette Saint-Pons Airport|Barcelonnette
LFMS|Alès Deaux Airport|Alès
LFMT|Montpellier-Méditerranée Airport|Montpellier
LFMU|Béziers-Agde-Vias Airport|Béziers
LFMV|Avignon Caumont Airport|Avignon
LFMW|Castelnaudary Villeneuve Airport|Castelnaudary
LFMX|Chateau-Arnoux Saint-Auban Airport|Chateau-Arnoux
LFMZ|Lezignan Corbieres Airport|Lézignan-Corbières
LFNA|Gap Tallard Airport|Gap
LFNB|Mende Brenoux Airport|Mende
LFNC|Mont-Dauphin Saint-Crepin Airport|Mont-Dauphin
LFND|Pont-Saint-Esprit Airport|Pont-Saint-Esprit
LFNE|Salon Eyguieres Airport|Salon
LFNF|Vinon Airport|Vinon
LFNG|Montpellier Candillargues Airport|Montpellier
LFNH|Carpentras Airport|Carpentras
LFNJ|Aspres-sur-Buech Airport|Aspres-sur-Buëch
LFNL|Saint-Martin-de-Londres Airport|Saint-Martin-de-Londres
LFNO|Florac Sainte-Enimie Airport|Florac
LFNP|Pézenas Nizas Airport|Pézenas
LFNQ|Mont-Louis La Quillane Airport|Mont-Louis
LFNR|Berre La Fare Airport|Berre
LFNS|Sisteron Theze Airport|Sisteron
LFNT|Avignon Pujaut Airport|Avignon
LFNU|Uzès Airport|Uzès
LFNV|Valréas Visan Airport|Valréas
LFNW|Puivert Airport|Puivert
LFNX|Bédarieux La Tour-sur-Orb Airport|Bédarieux
LFNZ|Le Mazet-de-Romanin Airport|Le Mazet
LFOB|Beauvais Tillé Airport|Beauvais
LFOC|Châteaudun Air Base|Châteaudun
LFOD|Saumur Saint-Florent Airport|Saumur
LFOE|Evreux Fauville Airport|Evreux
LFOF|Alençon Valframbert Airport|Alençon
LFOG|Flers Saint-Paul Airport|Flers
LFOH|Le Havre Octeville Airport|Le Havre
LFOI|Abbeville - Buigny-Saint-Maclou Aerodrome|Abbeville
LFOJ|Orléans - Bricy Air Base|Orléans
LFOK|Chalons Vatry Airport|Châlons-en-Champagne
LFOL|L'Aigle Saint-Michel Airport|L'Aigle
LFOM|Lessay Airport|Lessay
LFON|Vernouillet Airport|Dreux
LFOO|Les Sables-d'Olonne Talmont Airport|Les Sables-d'Olonne
LFOP|Rouen Vallée de Seine Airport|Rouen
LFOQ|Blois Le Breuil Airport|Blois
LFOR|Chartres Champhol Airport|Chartres
LFOS|Saint-Valery Vittefleur Airport|Saint-Valery
LFOT|Tours Val de Loire Airport|Tours
LFOU|Cholet Le Pontreau Airport|Cholet
LFOV|Laval Entrammes Airport|Laval
LFOW|Saint-Quentin Roupy Airport|Saint-Quentin
LFOX|Étampes Montdesir Airport|Étampes
LFOY|Le Havre Saint-Romain Airport|Le Havre
LFOZ|Orléans Saint-Denis-de-l'Hotel Airport|Orléans
LFPA|Persan-Beaumont Airport|Persan, Beaumont
LFPB|Paris Le Bourget Airport|Paris
LFPC|Creil Airport|Creil
LFPD|Bernay Saint-Martin Airport|Bernay
LFPE|Meaux Esbly Airport|Meaux
LFPF|Beynes Thiverval Airport|Beynes
LFPG|Paris Charles de Gaulle Airport (Roissy Airport)|Paris
LFPH|Chelles Le Pin Airport|Chelles
LFPI|Paris Issy-les-Moulineaux Airport|Paris
LFPK|Coulommiers-Voisins Airport|Coulommiers
LFPL|Lognes Emerainville Airport|Lognes
LFPM|Melun-Villaroche Airport|Melun
LFPN|Toussus-le-Noble Airport|Toussus-le-Noble
LFPO|Paris Orly Airport|Orly (near Paris)
LFPP|Le Plessis-Belleville Airport|Le Plessis-Belleville
LFPQ|Fontenay Tresigny Airport|Fontenay-Trésigny
LFPT|Pontoise - Cormeilles-en-Vexin Airport|Pontoise
LFPU|Moret Episy Airport|Moret-sur-Loing
LFPV|Vélizy - Villacoublay Air Base|Villacoublay
LFPX|Chavenay Villepreux Airport|Chavenay
LFPY|Brétigny-sur-Orge Air Base|Bretigny-sur-Orge
LFPZ|Saint-Cyr-l'École Airport|Saint-Cyr-l'École
LFQA|Reims-Prunay Airport|Reims
LFQB|Troyes Barberey Airport|Troyes
LFQC|Lunéville-Croismare Airport|Lunéville
LFQD|Arras Roclincourt Airport|Arras
LFQF|Autun Bellevue Airport|Autun
LFQG|Nevers Fourchambault Airport|Nevers
LFQH|Châtillon-sur-Seine Airport|Châtillon-sur-Seine
LFQI|Cambrai Epinoy Airport|Cambrai
LFQJ|Maubeuge Elesmes Airport|Maubeuge
LFQK|Chalons Ecury-sur-Coole Airport|Châlons-en-Champagne
LFQL|Lens Benifontaine Airport|Lens
LFQM|Besançon La Veze Airport|Besançon
LFQN|Saint-Omer Wizernes Airport|Saint-Omer
LFQO|Lille Marcq-en-Baroeul Airport|Lille
LFQQ|Lille Lesquin Airport|Lille
LFQR|Romilly-sur-Seine Airport|Romilly-sur-Seine
LFQS|Vitry-en-Artois Airport|Vitry-en-Artois
LFQT|Merville Calonne Airport|Merville / Hazebrouck
LFQU|Sarre-Union Airport|Sarre-Union
LFQV|Charleville-Mézières Airport|Charleville-Mézières
LFQW|Vesoul Frotey Airport|Vesoul
LFQX|Juvancourt Airport|Juvancourt
LFQY|Saverne Steinbourg Airport|Saverne
LFQZ|Dieuze Gueblange Airport|Dieuze
LFRB|Brest Bretagne Airport|Brest
LFRC|Cherbourg Maupertus Airport|Cherbourg
LFRD|Dinard Pleurtuit Saint-Malo Airport|Dinard
LFRE|La Baule-Escoublac Airport|La Baule-Escoublac
LFRF|Granville Airport|Granville
LFRG|Deauville Saint-Gatien Airport|Deauville
LFRH|Lorient South Brittany Airport|Lorient
LFRI|La Roche-sur-Yon Les Ajoncs Airport|La Roche-sur-Yon
LFRJ|Landivisiau Airport|Landivisiau
LFRK|Caen Carpiquet Airport|Caen
LFRM|Le Mans Arnage Airport|Le Mans
LFRN|Rennes - Saint-Jacques Airport|Rennes
LFRO|Lannion Airport|Lannion
LFRP|Ploermel Loyat Airport|Ploërmel
LFRQ|Quimper Pluguffan Airport|Quimper
LFRS|Nantes Atlantique Airport (formerly Aéroport Château Bougon)|Nantes
LFRT|Saint-Brieuc - Armor Airport|Saint-Brieuc
LFRU|Morlaix Ploujean Airport|Morlaix
LFRV|Vannes-Meucon Airport|Vannes
LFRW|Avranches Le Val Saint-Pere Airport|Avranches
LFRZ|Saint-Nazaire Montoir Airport|Saint-Nazaire
LFSA|Besançon Thise Airport|Besançon
LFSB|Bâle Mulhouse Airport (EuroAirport Basel-Mulhouse-Freiburg)|Basel (Switzerland) / Mulhouse
LFSD|Dijon Bourgogne - Longvic Airport|Dijon
LFSE|Epinal dogneville Airport|Epinal
LFSF|Metz Frescaty Airport|Metz
LFSG|Épinal Mirecourt Airport|Épinal
LFSH|Haguenau Airport|Haguenau
LFSJ|Sedan Douzy Airport|Sedan
LFSK|Vitry-le-François Vauclerc Airport|Vitry-le-François
LFSM|Montbéliard Courcelles Airport|Montbéliard
LFSN|Nancy Essey Airport|Nancy
LFSP|Pontarlier Airport|Pontarlier
LFSQ|Belfort Fontaine Airport|Belfort
LFSR|Reims Champagne Airport|Reims
LFST|Strasbourg Entzheim Airport|Strasbourg
LFSU|Langres Rolampont Airport|Langres
LFSV|Pont-Saint-Vincent Airport|Pont-Saint-Vincent
LFSW|Épernay Plivot Airport|Épernay
LFSY|Chaumont - La Vendue Airport|Chaumont
LFSZ|Vittel Champ-de-Courses Airport|Vittel
LFTB|Marignane Berre Airport|Marignane
LFTF|Cuers Pierrefeu Airport|Cuers
LFTH|Hyères Le Palyvestre Airport|Toulon
LFTM|Serres La Batie Montsaleon Airport|Serres-la-Batie
LFTN|La Grand'Combe Airport|La Grand'Combe
LFTP|Puimoisson Airport|Puimoisson
LFTQ|Chateaubriant Pouance Airport|Châteaubriant
LFTR|Toulon-St. Mandrier Heliport|Saint-Mandrier-sur-Mer
LFTU|Frejus Saint-Raphael Airport|Frejus
LFTW|Nîmes-Arles-Camargue Airport|Nîmes
LFTZ|La Mole Airport|La Mole
LFXA|Ambérieu-en-Bugey Air Base|Ambérieu-en-Bugey
LFXB|Saintes Thenac Airport|Saintes
LFXM|Mourmelon Airport|Mourmelon
LFXN|Narbonne Airport|Narbonne
LFXU|Les Mureaux Airport|Les Mureaux
LFYG|Cambrai Niergnies Airport|Cambrai
LFYR|Romorantin Pruniers Airport|Romorantin
LFYS|Sainte-Léocadie Airport|Sainte-Léocadie
LFVM|Miquelon Airport|Miquelon
LFVP|Saint Pierre Airport|Saint-Pierre
LGAL|Alexandroupolis International Airport, "Dimokritos" (Democritus)|Alexandroupolis
LGAD|Andravida Airport|Andravida
LGAV|Athens International Airport, "Eleftherios Venizelos"|Athens (Athina)
LGBL|International Airport of Central Greece|Nea Anchialos/Volos
LGHI|Chios Island National Airport|Chios
LGIK|Ikaria Island National Airport|Ikaria
LGIO|Ioannina National Airport|Ioannina
LGIR|Heraklion International Airport, "Nikos Kazantzakis"|Heraklion (Iraklion), Crete
LGKA|Kastoria National Airport, "Aristotelis"|Kastoria
LGKC|Kithira Island National Airport|Kythira (Kithira)
LGKF|Kefalonia Island International Airport|Kefalonia (Kefallinia, Cephallonia)
LGKJ|Kastelorizo Island Public Airport|Kastelorizo
LGKL|Kalamata International Airport|Kalamata
LGKO|Kos Island International Airport, "Ippokratis" (Hippocrates)|Kos
LGKP|Karpathos Island National Airport|Karpathos
LGKR|Ioannis Kapodistrias International Airport|Corfu (Kerkyra, Kerkira)
LGKS|Kassos Island Public Airport|Kasos (Kassos)
LGKV|Kavala International Airport, "Megas Alexandros"|Kavala
LGKZ|Kozani National Airport, "Filippos"|Kozani
LGLM|Lemnos International Airport|Lemnos (Limnos)
LGMK|Mykonos Island National Airport|Mykonos (Mikonos)
LGML|Milos Island National Airport|Milos
LGMT|Mytilene International Airport, "Odysseas Elytis"|Mytilene (Mitilini), Lesbos
LGNX|Naxos Island National Airport|Naxos
LGPA|Paros National Airport|Paros
LGPL|Astypalaia Island National Airport|Astypalaia
LGPZ|Aktion National Airport (Lefkada Airport)|Preveza
LGRP|Rhodes International Airport, "Diagoras"|Rhodes (Rhodos, Rodos)
LGRX|Araxos Airport|Araxos
LGSA|Chania International Airport, "Ioannis Daskalogiannis"|Chania, Crete
LGSK|Skiathos Island National Airport|Skiathos
LGSM|Samos International Airport, "Aristarchos"|Samos
LGSO|Syros Island National Airport|Syros (Siros)
LGSR|Santorini (Thira) National Airport|Santorini (Thira)
LGST|Sitia Public Airport|Sitia, Crete
LGSY|Skyros Island National Airport|Skyros (Skiros)
LGTS|Thessaloniki International Airport, "Makedonia"|Thessaloniki
LGZA|Zakynthos International Airport, "Dionysios Solomos"|Zakynthos (Zakinthos)
LHBP|Budapest Ferihegy International Airport|Budapest
LHBS|Budaörs Airport|Budaörs
LHDC|Debrecen International Airport|Debrecen
LHDK|Dunakeszi Airport|Dunakeszi
LHEC|Érsekcsanád Airport|Érsekcsanád
LHEM|Esztergom Airport|Esztergom
LHFM|Fertőszentmiklós Airport|Fertőszentmiklós
LHKE|Kecskemét Airport|Kecskemét
LHNY|Nyíregyháza Airport|Nyíregyháza
LHOY|Őcsény Airport|Őcsény
LHPA|Pápa Airport|Pápa
LHPP|Pécs Pogány Airport|Pécs
LHPR|Győr Pér Airport|Győr, Pér
LHSA|Szentkirályszabadja Airport|Szentkirályszabadja
LHSM|Sármellék International Airport|Sármellék
LHSN|Szolnok Airport|Szolnok
LHSK|Siófok-Kiliti Airport|Ságvár
LHTA|Taszár Airport|Taszár
LHTL|Tököl Airport|Tököl
LIAF|Foligno Airport|Foligno
LIAP|Preturo Airport|L'Aquila
LIAT|Pontedera Airport|Pontedera, Pisa
LIAU|Capua Airport|Capua
LIBA|Amendola Air Force Base|Foggia
LIBC|Crotone Airport (Sant'Anna Airport)|Crotone
LIBD|Bari Karol Wojtyla International Airport|Bari
LIBF|Gino Lisa Airport|Foggia
LIBG|Grottaglie Airport|Taranto
LIBN|Lecce Airport (military)|Lecce
LIBP|Abruzzo International Airport|Pescara
LIBR|Casale Airport|Brindisi
LIBV|Gioia del Colle Air Base|Gioia del Colle, Bari
LIBX|Martina Franca Air Force Base|Martina Franca, Taranto
LICA|Lamezia Terme International Airport|Lamezia Terme, Catanzaro
LICB|Comiso Airport|Comiso
LICC|Catania-Fontanarossa Airport (Catania-Fontanarossa Airport)|Catania
LICD|Lampedusa Airport|Lampedusa
LICG|Pantelleria Airport|Pantelleria, Trapani
LICJ|Palermo International Airport (Punta Raisi Falcone-Borsellino Airport)|Palermo / Punta Raisi
LICP|Palermo-Boccadifalco Airport|Palermo
LICR|Reggio Calabria Airport|Reggio Calabria
LICT|Vincenzo Florio Airport (Birgi Airport)|Trapani
LICZ|Sigonella Airport (military)|Catania
LIDA|Asiago Airport|Asiago, Vicenza
LIDB|Belluno Airport|Belluno
LIDE|Reggio Emilia Airport|Reggio Emilia
LIDF|Fano Airport|Fano, Pesaro & Urbino
LIDG|Lugo di Romagna Airport|Lugo di Romagna, Ravenna
LIDR|Ravenna Airport|Ravenna
LIDT|G. Caproni Airport (Mattarello Airport)|Trento
LIDU|Carpi Budrione Airport|Carpi
LIEA|Fertilia Airport (Alghero Airport)|Alghero, Sassari
LIED|Decimomannu Air Base|Decimomannu, Cagliari
LIEE|Cagliari - Elmas Airport|Cagliari
LIEO|Olbia - Costa Smeralda Airport|Olbia
LIER|Oristano-Fenosu Airport|Oristano
LIET|Tortolì Airport|Tortolì
LILE|Cerrione Airport|Biella
LILG|Vergiate Airport|Vergiate, Varese
LILH|Rivanazzano Airport|Voghera, Pavia
LILN|Venegono Airport|Varese
LILR|Migliaro Airport|Cremona
LIMA|Aeritalia Airport|Turin (Torino)
LIMB|Bresso Airport|Milan
LIMC|Malpensa International Airport|Milan
LIME|Orio al Serio International Airport|Bergamo
LIMF|Turin International Airport (Torino Caselle Airport)|Turin (Torino)
LIMG|Villanova d'Albenga International Airport (C. Panero Airport)|Albenga, Savona
LIMJ|Genoa Cristoforo Colombo Airport (Sestri Airport)|Genoa (Genova)
LIML|Linate Airport|Milan
LIMN|Cameri Air Force Base|Cameri, Novara
LIMP|Parma Airport (G. Verdi Airport)|Parma
LIMS|San Damiano Air Force Base|Piacenza
LIMW|Aosta Airport (Corrado Gex Airport)|Aosta
LIMZ|Cuneo Levaldigi Airport|Cuneo
LIPA|Aviano Air Base|Aviano, Pordenone
LIPB|Bolzano Dolomiti Airport|Bolzano, Bolzano-Bozen
LIPC|Cervia Air Force Base|Cervia, Ravenna
LIPD|Campoformido Airport (military?)|Campoformido / Udine
LIPE|Bologna Airport (Guglielmo Marconi Airport)|Bologna
LIPF|Ferrara Airport|Ferrara
LIPH|Treviso Airport (Sant'Angelo Airport)|Treviso
LIPI|Rivolto Air Force Base|Rivolto / Udine
LIPK|Forlì Airport (L. Ridolfi Airport)|Forlì
LIPL|Ghedi Airport (military)|Ghedi, Brescia
LIPM|Modena Marzaglia Airport|Modena
LIPN|Boscomantico Airport|Verona
LIPO|Montichiari Airport|Brescia
LIPQ|Friuli Venezia Giulia Airport (Trieste Ronchi dei Legionari Airport)|Ronchi dei Legionari / Trieste
LIPR|Federico Fellini International Airport|Rimini
LIPS|Istrana Air Force Base|Treviso
LIPT|Vicenza Trissino Airport|Vicenza
LIPU|Padova Airport (Gino Allegri Airport)|Padua (Padova)
LIPV|San Nicolo Airport|Venice (Venezia)
LIPX|Verona Airport (Villafranca International Airport, Valerio Catullo)|Verona
LIPY|Falconara Airport (Raffaello Sanzio Airport)|Ancona
LIPZ|Marco Polo International Airport (Marco Polo Venice Airport)|Venice (Venezia)
LIQL|Tassignano Airport|Lucca
LIQS|Siena Airport|Siena
LIQW|Luni Airport (military?)|Sarzana, Genoa
LIRA|Ciampino Airport (Giovan Battista Pastine Airport)|Rome
LIRC|Centocelle Air Force Base|Centocelle, Rome
LIRE|Pratica di Mare Air Force Base|Pomezia, Rome
LIRF|Leonardo da Vinci International Airport (Fiumicino International Airport)|Rome
LIRG|Guidonia Air Force Base|Guidonia Montecelio, Rome
LIRI|Salerno Costa d'Amalfi Airport|Salerno
LIRJ|Marina di Campo Airport|Marina di Campo, Elba
LIRL|Latina Airport (military?)|Latina
LIRM|Grazzanise Airport (military?)|Caserta
LIRN|Naples International Airport (Capodichino Airport)|Naples
LIRP|Galileo Galilei Airport (Pisa International Airport)|Pisa
LIRQ|Amerigo Vespucci Airport (Florence Airport)|Florence (Firenze)
LIRS|Grosseto Airport|Grosseto
LIRU|Rome Urbe Airport|Rome
LIRV|Viterbo Air Force Base / Rome Viterbo Airport|Viterbo
LIRZ|San Egidio Airport|Perugia
LJAJ|Ajdovščina Airport|Ajdovščina
LJBL|Lesce-Bled Airport|Lesce
LJBO|Bovec Airport|Bovec
LJCE|Cerklje ob Krki Air Base|Cerklje ob Krki, Brežice
LJCL|Celje Airport|Celje (Levec)
LJLJ|Ljubljana Jože Pučnik Airport (Brnik Airport)|Ljubljana
LJMB|Maribor Edvard Rusjan Airport|Maribor
LJMS|Murska Sobota Airport|Murska Sobota (Rakičan)
LJNM|Novo Mesto-Prečna Airport|Novo Mesto (Prečna)
LJPO|Postojna Airport|Postojna
LJPT|Ptuj Airport|Ptuj (Moškanjci)
LJPZ|Portorož Airport|Portorož
LJSG|Slovenj Gradec Airport|Slovenj Gradec
LJVE|Velenje Airport|Velenje (Lajše)
LKBA|Břeclav Airport|Břeclav
LKBE|Benešov Airport|Benešov
LKBR|Broumov Airport|Broumov
LKBU|Bubovice Airport|Bubovice
LKCB former|Cheb Airport|Cheb
LKCE|Česká Lípa Airport|Česká Lípa
LKCH|Chomutov Airport|Chomutov
LKCM|Medlánky Airport|Medlánky
LKCS|České Budějovice Airport|České Budějovice
LKCT|Chotěboř Airport|Chotěboř
LKDK|Dvůr Králové nad Labem Airport|Dvůr Králové nad Labem
LKHB|Havlíčkův Brod Airport|Havlíčkův Brod
LKHC|Hořice Airport|Hořice
LKHD|Hodkovice nad Mohelkou Airport|Hodkovice nad Mohelkou
LKHN|Hranice Airport|Hranice
LKHO|Holešov Airport|Holešov
LKJA|Jaroměř Airport|Jaroměř
LKJC|Jičín Airport|Jičín
LKJH|Jindřichův Hradec Airport|Jindřichův Hradec
LKJI|Jihlava Airport|Jihlava
LKKB|Praha Kbely|Praha
LKKL|Kladno Airport|Kladno
LKKO|Kolín Airport|Kolín
LKKR|Krnov Airport|Krnov
LKKA|Křižanov Airport|Křižanov
LKKT|Klatovy Airport|Klatovy
LKKU|Kunovice Airport|Kunovice
LKKV|Karlovy Vary Airport|Karlovy Vary
LKKY|Kyjov Airport|Kyjov
LKLT|Letňany Airport|Letňany
LKMB|Mladá Boleslav Airport|Mladá Boleslav
LKMH|Mnichovo Hradiště Airport|Mnichovo Hradiště
LKMI|Mikulovice Airport|Mikulovice
LKMK|Moravská Třebová Airport|Moravská Třebová
LKMO|Most Airport|Most
LKMR|Mariánské Lázně Airport|Mariánské Lázně
LKMT|Ostrava-Mošnov International Airport|Ostrava
LKNM|Nové Město Airport|Nové Město nad Metují
LKOL|Olomouc Airport|Olomouc
LKOT|Otrokovice Airfield|Otrokovice
LKPA|Polička Airport|Polička
LKPD|Pardubice Airport|Pardubice
LKPI|Přibyslav Airport|Přibyslav
LKPL|Letkov Airport|Letkov
LKPM|Příbram Airport|Příbram
LKPN|Podhořany Airport|Podhořany
LKPO|Přerov Airport|Přerov
LKPR|Ruzyně International Airport|Prague
