"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
sf36_q3c;prosquestionnaires;;radio;c;"1, 1|2, 2|3, 3|4, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q3;;
sf36_q3d;prosquestionnaires;;radio;d;"1, 1|2, 2|3, 3|4, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q3;;
sf36_q3e;prosquestionnaires;;radio;e;"1, 1|2, 2|3, 3|4, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q3;;
sf36_q3f;prosquestionnaires;;radio;f;"1, 1|2, 2|3, 3|4, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q3;;
sf36_q3g;prosquestionnaires;;radio;g;"1, 1|2, 2|3, 3|4, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q3;;
sf36_q3h;prosquestionnaires;;radio;h;"1, 1|2, 2|3, 3|4, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q3;;
sf36_q3i;prosquestionnaires;;radio;i;"1, 1|2, 2|3, 3|4, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q3;;
sf36_q3j;prosquestionnaires;;radio;j;"1, 1|2, 2|3, 3|4, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q3;;
sf36_q4a;prosquestionnaires;"SF-36 : Question 4";radio;a;"1, 1|2, 2|3, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q4;;
sf36_q4b;prosquestionnaires;;radio;b;"1, 1|2, 2|3, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q4;;
sf36_q4c;prosquestionnaires;;radio;c;"1, 1|2, 2|3, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q4;;
sf36_q4d;prosquestionnaires;;radio;d;"1, 1|2, 2|3, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q4;;
sf36_q5a;prosquestionnaires;"SF-36 : Question 5";radio;a;"1, 1|2, 2|3, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q5;;
sf36_q5b;prosquestionnaires;;radio;b;"1, 1|2, 2|3, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q5;;
sf36_q5c;prosquestionnaires;;radio;c;"1, 1|2, 2|3, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q5;;
sf36_q6;prosquestionnaires;;radio;"SF-36 : Question 6";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
sf36_q7;prosquestionnaires;;radio;"SF-36 : Question 7";"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
sf36_q8;prosquestionnaires;;radio;"SF-36 : Question 8";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
sf36_q9a;prosquestionnaires;"SF 36 : Question 9";radio;a;"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q9;;
sf36_q9b;prosquestionnaires;;radio;b;"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q9;;
sf36_q9c;prosquestionnaires;;radio;c;"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q9;;
sf36_q9d;prosquestionnaires;;radio;d;"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q9;;
sf36_q9e;prosquestionnaires;;radio;e;"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q9;;
sf36_q9f;prosquestionnaires;;radio;f;"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q9;;
sf36_q9g;prosquestionnaires;;radio;g;"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q9;;
sf36_q9h;prosquestionnaires;;radio;h;"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q9;;
sf36_q9i;prosquestionnaires;;radio;i;"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q9;;
sf36_q10;prosquestionnaires;;radio;"SF-36 : Question 10";"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;LH;;;;
sf36_q11a;prosquestionnaires;"SF-36 : Question 11";radio;a;"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q11;;
sf36_q11b;prosquestionnaires;;radio;b;"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q11;;
sf36_q11c;prosquestionnaires;;radio;c;"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q11;;
sf36_q11d;prosquestionnaires;;radio;d;"1, 1|2, 2|3, 3|4, 4|5, 5|6, no data";;;;;;"[pro_available] = '1'";y;;;sf36_q11;;
audit_c_1;prosquestionnaires;"<div class=""rich-text-field-label""><h2>AUDIT-C</h2></div>";radio;"How often do you drink alcohol?";"0, never | 1, 1x/month | 2, 2-4x/month | 3, 2-3x/week | 4, 4x or more/week | 9, no data";;;;;;;;LH;;;;
audit_c_2;prosquestionnaires;;radio;"If you drink alcohol, how many alcoholic drinks do you usually drink?";"0, 1-2 | 1, 3-4 | 2, 5-6 | 3, 7-8 | 4, 10 or more | 9, no data";;;;;;;;LH;;;;
audit_c_3;prosquestionnaires;;radio;"How often did you drink 6 or more drinks on a day within the last year?";"0, never | 1, fewer than 1x/month | 2, 1x/month | 3, 1x/week | 4, daily or almost daily | 9, no data";;;;;;;;LH;;;;
who5_header;prosquestionnaires;;descriptive;"<div class=""rich-text-field-label""><h2>WHO-5</h2></div>";;;;;;;;;;;;;
who5_1;prosquestionnaires;WHO5;radio;"question 1";"5, All of the time | 4, Most of the time | 3, More than half the time | 2, Less than half the time | 1, Some of the time | 0, At no time | 9, no data";;;;;;;y;;;who5;;
who5_2;prosquestionnaires;;radio;"question 2";"5, All of the time | 4, Most of the time | 3, More than half the time | 2, Less than half the time | 1, Some of the time | 0, At no time | 9, no data";;;;;;;y;;;who5;;
who5_3;prosquestionnaires;;radio;"question 3";"5, All of the time | 4, Most of the time | 3, More than half the time | 2, Less than half the time | 1, Some of the time | 0, At no time | 9, no data";;;;;;;y;;;who5;;
who5_4;prosquestionnaires;;radio;"question 4";"5, All of the time | 4, Most of the time | 3, More than half the time | 2, Less than half the time | 1, Some of the time | 0, At no time | 9, no data";;;;;;;y;;;who5;;
who5_5;prosquestionnaires;;radio;"question 5";"5, All of the time | 4, Most of the time | 3, More than half the time | 2, Less than half the time | 1, Some of the time | 0, At no time | 9, no data";;;;;;;y;;;who5;;
study_blood_available;biosampling;;yesno;"Was study blood sampled?";;;;;;;;y;;;;;
study_blood_date;biosampling;;text;"Date of blood collection";;;date_dmy;;;;"[study_blood_available] = '1'";;LV;;;;
blood_set;biosampling;;checkbox;"Which blood samples arrived and have been processed?";"1, 2x EDTA | 2, 1x Heparin | 3, 1x Serum | 4, 1x EDTA-Plasma | 5, 1x PAX";;;;;;"[study_blood_available] = '1'";y;LH;;;;
blood_overview;biosampling;;descriptive;"<div class=""rich-text-field-label""><table style=""width: 90.35%; height: 154px; border-collapse: collapse;"" border=""1""> <tbody> <tr style=""height: 22px;""> <td style=""width: 18.77%; height: 22px;"">Samples</td> <td style=""width: 75.15%; height: 22px;"">IDs</td> <td style=""width: 1.64%; height: 22px;"">Aliquot numbers</td> </tr> <tr style=""height: 22px;""> <td style=""width: 18.77%; height: 22px;"">2x EDTA</td> <td style=""width: 75.15%; height: 22px;"">{id_pbmc}</td> <td style=""width: 1.64%; height: 22px;"">{number_pbmc}</td> </tr> <tr style=""height: 44px;""> <td style=""width: 18.77%; height: 44px;"">1x EDTA (Smarttube)</td> <td style=""width: 75.15%; height: 44px;"">{id_smart}</td> <td style=""width: 1.64%; height: 44px;"">{number_smart}</td> </tr> <tr> <td style=""width: 18.77%;"">1x Smarttube + CisPt</td> <td style=""width: 75.15%;"">{id_cispt}</td> <td style=""width: 1.64%;"">{number_cispt}</td> </tr> <tr style=""height: 44px;""> <td style=""width: 18.77%; height: 44px;"">1x Serum</td> <td style=""width: 75.15%; height: 44px;"">{id_serum}</td> <td style=""width: 1.64%; height: 44px;"">{number_serum}</td> </tr> <tr> <td style=""width: 18.77%;"">1x EDTA-Plasma</td> <td style=""width: 75.15%;"">{id_plasma}</td> <td style=""width: 1.64%;"">{number_plasma}</td> </tr> <tr style=""height: 22px;""> <td style=""width: 18.77%; height: 22px;"">1x PAX</td> <td style=""width: 75.15%; height: 22px;"">{id_pax}</td> <td style=""width: 1.64%; height: 22px;"">{number_pax}</td> </tr> </tbody> </table></div>";;;;;;;;;;;;;
id_pbmc;biosampling;;text;"ID of the PBMC tubes";;;;;;;"[blood_set(1)] = '1'";y;LV;;;;
number_pbmc;biosampling;;text;"Number of PBMC aliquots Ã  1500 Âµl";;;number;0;9;;"[blood_set(1)] = '1'";y;LV;;;;
id_smart;biosampling;;text;"ID of stabilized blood";;"Heparinized blood + SmartTube Stabilizer";;;;;"[blood_set(2)] = '1'";y;LV;;;;
number_smart;biosampling;;text;"Number of SmartTube aliquots Ã  1800 Âµl";;;number;0;9;;"[blood_set(2)] = '1'";y;LV;;;;
id_serum;biosampling;;text;"ID of the serum tubes";;;;;;;"[blood_set(3)] = '1'";y;LV;;;;
number_serum;biosampling;;text;"Number of serum aliquots Ã  500 Âµl";;;number;0;10;;"[blood_set(3)] = '1'";y;LV;;;;
id_cispt;biosampling;;text;"ID of the cispt tubes";;;;;;;"[blood_set(2)] = '1'";;LV;;;;
number_cispt;biosampling;;text;"Number of cispt aliquots Ã  500 Âµl";;;number;0;10;;"[blood_set(2)] = '1'";;LV;;;;
id_plasma;biosampling;;text;"ID of the EDTA-Plasma tubes";;;;;;;"[blood_set(4)] = '1'";y;LV;;;;
number_plasma;biosampling;;text;"Number of Plasma aliquots ";;;number;0;10;;"[blood_set(4)] = '1'";y;LV;;;;
id_pax;biosampling;;text;"ID of the PAXGene tube";;;;;;;"[blood_set(5)] = '1'";y;LV;;;;
number_pax;biosampling;;text;"Number of PAXGene tubes";;;number;0;9;;"[blood_set(5)] = '1'";y;LV;;;;
study_blood_remarks;biosampling;;notes;"Remarks on the blood samples";;;;;;;;;LV;;;;
biopsies_available;biosampling;;yesno;"Biopsies available from endoscopy?";;"Only week 0, 2, 14, 52";;;;;;y;;;;;
date_endoscopy;biosampling;;descriptive;"<div class=""rich-text-field-label""><p>Date of endoscopy and biopsy taking:Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â [endoscopy_date]</p></div>";;;;;;;"[biopsies_available] = '1'";;;;;;
biopsy_details;biosampling;;checkbox;"Which biopsies are available?";"1, Biopsies from least inflamed tissue|2, Biopsies from most inflamed tissue";;;;;;"[biopsies_available] = '1'";;;;;;
least_segment;biosampling;;dropdown;"Segment of least inflammed tissue";"1, Rectum|2, Sigmoid colon|3, Descending colon|4, Left flexure|5, Transverse colon|6, Right flexure|7, Ascending colon|8, Caecum|9, Ileum";;;;;;"[biopsy_details(1)] = '1'";y;;;;;
least_segment_2;biosampling;;dropdown;"Segment of least inflammed tissue";"1, Rectum|2, Sigmoid colon|3, Descending colon|4, Left flexure|5, Transverse colon|6, Right flexure|7, Ascending colon|8, Caecum|9, Ileum";;;;;;"[biopsy_details(1)] = '1'";;;;;;
least_grade;biosampling;;dropdown;"Inflammation grade of least inflammed tissue";"0, Not inflamed|1, Mildly inflamed|2, Moderately inflamed|3, Severely inflamed";;;;;;"[biopsy_details(1)] = '1'";y;;;;;
least_grade_2;biosampling;;dropdown;"Inflammation grade of least inflammed tissue";"0, Not inflamed|1, Mildly inflamed|2, Moderately inflamed|3, Severely inflamed";;;;;;"[biopsy_details(1)] = '1'";;;;;;
most_segment;biosampling;;dropdown;"Segment of most inflammed tissue";"1, Rectum|2, Sigmoid colon|3, Descending colon|4, Left flexure|5, Transverse colon|6, Right flexure|7, Ascending colon|8, Caecum|9, Ileum";;;;;;"[biopsy_details(2)] = '1'";y;;;;;
most_segment_2;biosampling;;dropdown;"Segment of most inflammed tissue";"1, Rectum|2, Sigmoid colon|3, Descending colon|4, Left flexure|5, Transverse colon|6, Right flexure|7, Ascending colon|8, Caecum|9, Ileum";;;;;;"[biopsy_details(2)] = '1'";;;;;;
most_grade;biosampling;;dropdown;"Inflammation grade of most inflammed tissue";"0, Not inflamed|1, Mildly inflamed|2, Moderately inflamed|3, Severely inflamed";;;;;;"[biopsy_details(2)] = '1'";y;;;;;
most_grade_2;biosampling;;dropdown;"Inflammation grade of most inflammed tissue";"0, Not inflamed|1, Mildly inflamed|2, Moderately inflamed|3, Severely inflamed";;;;;;"[biopsy_details(2)] = '1'";;;;;;
biopsies_overview;biosampling;;descriptive;"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 156px; border-style: solid;"" border=""2""> <tbody> <tr style=""height: 22px;""> <td style=""width: 20.8799%; height: 22px; text-align: center;"" colspan=""2""> <p>Location</p> </td> <td style=""width: 16.61%; height: 22px; text-align: center;""> <p>Â Grade of Inflammation</p> </td> <td style=""width: 15.86%; height: 22px; text-align: center;""> <p>Medium</p> </td> <td style=""width: 38.29%; height: 22px; text-align: center;""> <p>IDs</p> </td> <td style=""width: 10.73%; height: 22px; text-align: center;""> <p>Aliquot numbers</p> </td> </tr> <tr style=""height: 22px;""> <td style=""width: 2.21%; height: 68px; text-align: center;"" rowspan=""4""> <p>Least inflamed</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; height: 68px; text-align: center; width: 18.6699%;"" rowspan=""2""> <p>{least_segment}</p> </td> <td style=""height: 68px; width: 16.61%;"" rowspan=""2""> <p>{least_grade}</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 15.86%; height: 24px; text-align: center;""> <p>native</p> </td> <td style=""width: 38.29%; height: 24px;""> <p>{id_least_bio_native}</p> </td> <td style=""width: 10.73%; height: 24px;""> <p>{number_least_bio_native}</p> </td> </tr> <tr style=""height: 44px;""> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 15.86%; height: 44px; text-align: center;""> <p>freezing medium</p> </td> <td style=""width: 38.29%; height: 44px;""> <p>{id_least_bio_freezing}</p> </td> <td style=""width: 10.73%; height: 44px;""> <p>{number_least_bio_freezing}</p> </td> </tr> <tr> <td style=""padding: 0.4rem; border: 1px solid #cccccc; text-align: center; width: 18.6699%;"" rowspan=""2""> <p>{least_segment_2}</p> </td> <td style=""width: 16.61%;"" rowspan=""2""> <p>{least_grade_2}</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 15.86%; text-align: center;""> <p>native</p> </td> <td style=""width: 38.29%;""> <p>{id_least_bio_native_2}</p> </td> <td style=""width: 10.73%;""> <p>{number_least_bio_native_2}</p> </td> </tr> <tr> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 15.86%; text-align: center;""> <p>freezing medium</p> </td> <td style=""width: 38.29%;""> <p>{id_least_bio_freezing_2}</p> </td> <td style=""width: 10.73%;""> <p>{number_least_bio_freezing_2}</p> </td> </tr> <tr style=""height: 22px;""> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 2.21%; height: 66px; text-align: center;"" rowspan=""4""> <p>Most inflamed</p> <p>Â </p> <p>Â </p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; height: 66px; text-align: center; width: 18.6699%;"" rowspan=""2""> <p>{most_segment}</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; height: 66px; width: 16.61%;"" rowspan=""2""> <p>{most_grade}</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 15.86%; height: 22px; text-align: center;""> <p>native</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 38.29%; height: 22px;""> <p>{id_most_bio_native}</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 10.73%; height: 22px;""> <p>{number_most_bio_native}</p> </td> </tr> <tr style=""height: 44px;""> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 15.86%; height: 44px; text-align: center;""> <p>freezing medium</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 38.29%; height: 44px;""> <p>{id_most_bio_freezing}</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 10.73%; height: 44px;""> <p>{number_most_bio_freezing}</p> </td> </tr> <tr> <td style=""padding: 0.4rem; border: 1px solid #cccccc; text-align: center; width: 18.6699%;"" rowspan=""2""> <p>{most_segment_2}</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 16.61%;"" rowspan=""2""> <p>{most_grade_2}</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 15.86%; height: 22px; text-align: center;""> <p>native</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 38.29%;""> <p>{id_most_bio_native_2}</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 10.73%;""> <p>{number_most_bio_native_2}</p> </td> </tr> <tr style=""height: 44px;""> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 15.86%; height: 44px; text-align: center;""> <p>freezing medium</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 38.29%;""> <p>{id_most_bio_freezing_2}</p> </td> <td style=""padding: 0.4rem; border: 1px solid #cccccc; width: 10.73%;""> <p>{number_most_bio_freezing_2}</p> </td> </tr> </tbody> </table> <p>Â </p></div>";;;;;;;;;;;;;
id_least_bio_native;biosampling;;text;"ID of native biopsies, least inflamed";;;;;;;"[biopsy_details(1)] = '1'";y;LV;;;;
id_least_bio_native_2;biosampling;;text;"ID of native biopsies, least inflamed";;;;;;;"[biopsy_details(1)] = '1'";;LV;;;;
number_least_bio_native;biosampling;;text;"Number of native biopsies vials, most inflamed";;;number;0;9;;"[biopsy_details(1)] = '1'";y;LV;;;;
number_least_bio_native_2;biosampling;;text;"Number of native biopsies vials, most inflamed";;;number;0;9;;"[biopsy_details(1)] = '1'";;LV;;;;
id_least_bio_freezing;biosampling;;text;"ID of biopsies in freezing medium, least inflamed";;;;;;;"[biopsy_details(1)] = '1'";y;LV;;;;
id_least_bio_freezing_2;biosampling;;text;"ID of biopsies in freezing medium, least inflamed";;;;;;;"[biopsy_details(1)] = '1'";;LV;;;;
number_least_bio_freezing;biosampling;;text;"Number of vials with freezing medium, least inflamed";;;number;0;9;;"[biopsy_details(1)] = '1'";y;LV;;;;
number_least_bio_freezing_2;biosampling;;text;"Number of vials with freezing medium, least inflamed";;;number;0;9;;"[biopsy_details(1)] = '1'";;LV;;;;
id_most_bio_native;biosampling;;text;"ID of native biopsies, most inflamed";;;;;;;"[biopsy_details(2)] = '1'";y;LV;;;;
id_most_bio_native_2;biosampling;;text;"ID of native biopsies, most inflamed";;;;;;;"[biopsy_details(2)] = '1'";;LV;;;;
number_most_bio_native;biosampling;;text;"Number of native biopsies vials, most inflamed";;;number;0;9;;"[biopsy_details(2)] = '1'";y;LV;;;;
number_most_bio_native_2;biosampling;;text;"Number of native biopsies vials, most inflamed";;;number;0;9;;"[biopsy_details(2)] = '1'";;LV;;;;
id_most_bio_freezing;biosampling;;text;"ID of biopsies in freezing medium, most inflamed";;;;;;;"[biopsy_details(2)] = '1'";y;LV;;;;
id_most_bio_freezing_2;biosampling;;text;"ID of biopsies in freezing medium, most inflamed";;;;;;;"[biopsy_details(2)] = '1'";;LV;;;;
number_most_bio_freezing;biosampling;;text;"Number of vials with freezing medium, mostinflamed";;;number;0;9;;"[biopsy_details(2)] = '1'";y;LV;;;;
number_most_bio_freezing_2;biosampling;;text;"Number of vials with freezing medium, mostinflamed";;;number;0;9;;"[biopsy_details(2)] = '1'";;LV;;;;
biopsy_remarks;biosampling;;notes;"Remarks on biopsy samples";;;;;;;;;LV;;;;
stool_arrive;biosampling;"Popgen Samples";yesno;"Popgen received stool samples?";;;;;;;;y;;;;;
stool_tubes;biosampling;;checkbox;"Which stool tubes arrived?";"1, native|2, stratec";;;;;;"[stool_arrive] = '1'";y;;;;;
biobank_samples;biosampling;;yesno;"Biobank samples arrived Popgen?";;;;;;;;y;;;;;
biobank_blood_details;biosampling;;checkbox;"Which blood samples arrived to Popgen?";"1, PAX|2, PAX|3, EDTA|4, EDTA|5, Serum";;;;;;"[biobank_samples] = '1'";y;;;;;
w14_summary_header;week_14_summary;;descriptive;"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Disease: [week_0_arm_1][diagnosis]</span></p> <p><span style=""color: #000000;"">Drug: [week_0_arm1][used_drug]</span></p></div>";;;;;;;;;;;;;sadf
w14_conference;week_14_summary;;text;"Date of post-W14 conference";;;date_dmy;;;;;y;;;;;
summary_uc;week_14_summary;;descriptive;"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 132px;"" border=""1""> <tbody> <tr style=""height: 22px;""> <td style=""width: 9.37809%; height: 22px;"" rowspan=""2"">Â </td> <td style=""width: 6.46019%; height: 44px; text-align: center;"" rowspan=""2"">Date</td> <td style=""width: 7.94387%; height: 44px; text-align: center;"" rowspan=""2"">pMayo</td> <td style=""width: 3.97194%; text-align: center; height: 44px;"" rowspan=""2"">Mayo</td> <td style=""width: 1.48948%; height: 22px; text-align: center;"" colspan=""2"">Blood</td> <td style=""width: 0.496493%; text-align: center; height: 44px;"" rowspan=""2"">Stool</td> <td style=""width: 31.7755%; height: 22px; text-align: center;"" colspan=""4"">Endoscopy</td> <td style=""width: 7.94387%; height: 44px; text-align: center;"" rowspan=""2"">PRO</td> </tr> <tr style=""height: 22px;""> <td style=""width: 0.992985%; text-align: center; height: 22px;"">Popgen</td> <td style=""width: 0.496493%; text-align: center; height: 22px;"">Study blood</td> <td style=""width: 7.94387%; height: 22px; text-align: center;"">Date</td> <td style=""width: 7.94387%; height: 22px; text-align: center;"">Mayo</td> <td style=""width: 7.94387%; height: 22px; text-align: center;"">Nancy</td> <td style=""width: 7.94387%; height: 22px; text-align: center;"">Biopsy</td> </tr> <tr style=""height: 22px;""> <td style=""width: 9.37809%; height: 22px; text-align: center;"">Week 0</td> <td style=""width: 6.46019%; height: 22px; text-align: center;"">[week_0_arm_1][date_visit]</td> <td style=""width: 7.94387%; height: 22px; text-align: center;"">[week_0_arm_1][partial_mayo]</td> <td style=""width: 3.97194%; text-align: center; height: 22px;"">[week_0_arm_1][complete_mayo]</td> <td style=""width: 0.992985%; text-align: center; height: 22px;"">[week_0_arm_1][biobank_samples]</td> <td style=""width: 0.496493%; text-align: center; height: 22px;"">[week_0_arm_1][study_blood_available]</td> <td style=""width: 0.496493%; text-align: center; height: 22px;"">[week_0_arm_1][stool_arrive]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_0_arm_1][endoscopy_date]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_0_arm_1][endo_mayo]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_0_arm_1][nancy_index]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_0_arm_1][biopsies_available]</td> <td style=""width: 7.94387%; height: 22px; text-align: center;"">[week_0_arm_1][pro_available]</td> </tr> <tr style=""height: 22px;""> <td style=""width: 9.37809%; height: 22px; text-align: center;"">Week 2</td> <td style=""width: 6.46019%; height: 22px; text-align: center;"">[week_2_arm_1][date_visit]</td> <td style=""width: 7.94387%; height: 22px; text-align: center;"">[week_2_arm_1][partial_mayo]</td> <td style=""width: 3.97194%; text-align: center; height: 22px;"">[week_2_arm_1][complete_mayo]</td> <td style=""width: 0.992985%; text-align: center; height: 22px;"">[week_2_arm_1][biobank_samples]</td> <td style=""width: 0.496493%; text-align: center; height: 22px;"">[week_2_arm_1][study_blood_available]</td> <td style=""width: 0.496493%; text-align: center; height: 22px;"">[week_2_arm_1][stool_arrive]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_2_arm_1][endoscopy_date]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_2_arm_1][endo_mayo]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_2_arm_1][nancy_index]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_2_arm_1][biopsies_available]</td> <td style=""width: 7.94387%; height: 22px; text-align: center;"">[week_2_arm_1][pro_available]</td> </tr> <tr style=""height: 22px;""> <td style=""width: 9.37809%; height: 22px; text-align: center;"">Week 14</td> <td style=""width: 6.46019%; height: 22px; text-align: center;"">[week_14_arm_1][date_visit]</td> <td style=""width: 7.94387%; height: 22px; text-align: center;"">[week_14_arm_1][partial_mayo]</td> <td style=""width: 3.97194%; text-align: center; height: 22px;"">[week_14_arm_1][complete_mayo]</td> <td style=""width: 0.992985%; text-align: center; height: 22px;"">[week_14_arm_1][biobank_samples]</td> <td style=""width: 0.496493%; text-align: center; height: 22px;"">[week_14_arm_1][study_blood_available]</td> <td style=""width: 0.496493%; text-align: center; height: 22px;"">[week_14_arm_1][stool_arrive]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_14_arm_1][endoscopy_date]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_14_arm_1][endo_mayo]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_14_arm_1][nancy_index]</td> <td style=""width: 7.94387%; text-align: center; height: 22px;"">[week_14_arm_1][biopsies_available]</td> <td style=""width: 7.94387%; height: 22px; text-align: center;"">[week_14_arm_1][pro_available]</td> </tr> </tbody> </table></div>";;;;;;;"[week_0_arm_1][diagnosis] = '2'";;;;;;
