Siebel Enterprise Applications Siebel Server Manager, Version 8.1.1.7 [21238] LANG_INDEPENDENT 
Copyright (c) 1990-2008, Oracle. All rights reserved.

The Programs (which include both the software and documentation) contain
proprietary information; they are provided under a license agreement containing
restrictions on use and disclosure and are also protected by copyright, patent,
and other intellectual and industrial property laws. Reverse engineering,
disassembly, or decompilation of the Programs, except to the extent required to
obtain interoperability with other independently created software or as specified
by law, is prohibited.

Oracle, JD Edwards, PeopleSoft, and Siebel are registered trademarks of
Oracle Corporation and/or its affiliates. Other names may be trademarks
of their respective owners.

If you have received this software in error, please notify Oracle Corporation
immediately at 1.800.ORACLE1.

Type "help" for list of commands, "help <topic>" for detailed help

Connected to 3 server(s) out of a total of 3 server(s) in the enterprise

srvrmgr> load preferences
File: /foo_22/siebel/81/siebsrvr/bin/.Siebel_svrmgr.pref

srvrmgr> list comp types

CT_NAME                                                                       CT_RUNMODE                       CT_ALIAS                                                       CT_DESC_TEXT                                                                                                                                                                                                                                                 
MsgBody                                                                                                                         String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Message Body                                                            
MsgCcList                                                                                                                       String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Message Cc List                                                         
MsgClientAddInCacheRefreshInterval     4320                                                                                     Integer      Subsystem  Messaging Client Subsystem                     Default value     Valor predeterminado             Y                 N                 N                  N                 Messaging Client AddIn Cache Refresh Interval                           
MsgClientAddInCommModule               EAI                                                                                      String       Subsystem  Messaging Client Subsystem                     Default value     Valor predeterminado             Y                 N                 N                  N                 Messaging Client AddIn Communication Module                             
MsgClientAddInEAIUrl                                                                                                            String       Subsystem  Messaging Client Subsystem                     Never set         No se estableció                 Y                 N                 N                  N                 Messaging Client AddIn EAI Url                                          
MsgClientAddInLinkHistory              30                                                                                       Integer      Subsystem  Messaging Client Subsystem                     Default value     Valor predeterminado             Y                 N                 N                  N                 Messaging Client AddIn Link History                                     
MsgFrom                                                                                                                         String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Message From                                                            
MsgHTMLBody                                                                                                                     String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Message HTML Body                                                       
MsgReplyToAddressList                                                                                                           String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 MessageReplyAddress  List                                               
MsgSubject                                                                                                                      String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Message Subject                                                         
MsgToList                                                                                                                       String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Message To List                                                         
NotifyHandler                          AdminEmailAlert                                                                          String       Subsystem  Infrastructure Notification                    Server level      Nivel de servidor establecido    N                 N                 N                  N                 Notification Handler                                                    
NotifyTimeOut                          100                                                                                      Integer      Subsystem  Infrastructure Notification                    Default value     Valor predeterminado             N                 N                 N                  N                 Time to wait for doing notification                                     
NumRecipients                                                                                                                   String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Number Of Recipients                                                    
NumRetries                             10000                                                                                    Integer      Subsystem  Recovery                                       Default value     Valor predeterminado             Y                 N                 N                  N                 Number of Retries                                                       
NumTasks                                                                                                                        String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Number Of Tasks                                                         
ORCLBatchSize                          0                                                                                        Integer      Subsystem  External DB Subsystem                          Never set         No se estableció                 Y                 N                 N                  N                 ORCL Batch Size                                                         
ORCLGroupSize                          0                                                                                        Integer      Subsystem  External DB Subsystem                          Never set         No se estableció                 Y                 N                 N                  N                 ORCL Group Size                                                         
ORCLQueueName                                                                                                                   String       Subsystem  External DB Subsystem                          Never set         No se estableció                 Y                 N                 N                  N                 ORCL Queue Name                                                         
OrigMsgFile                                                                                                                     String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Original Message File                                                   
PSPCacheMaxItemCntLevel1               10000                                                                                    Integer      Subsystem  PSP Engine                                     Default value     Valor predeterminado             Y                 N                 N                  N                 PSP Level 1 Cache Max Item Count                                        
PSPCacheMaxItemCntLevel2               10000                                                                                    Integer      Subsystem  PSP Engine                                     Default value     Valor predeterminado             Y                 N                 N                  N                 PSP Level 2 Cache Max Item Count                                        
PackageNameList                                                                                                                 String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Comm Template Name List                                                 
Password                               ********                                                                                 String       Subsystem  Database Access                                Enterprise level  Nivel de Enterprise establecido  Y                 N                 N                  N                 Password                                                                
PeerAuth                               False                                                                                    Boolean      Subsystem  Networking                                     Default value     Valor predeterminado             N                 N                 Y                  N                 Peer Authentication                                                     
PeerCertValidation                     False                                                                                    Boolean      Subsystem  Networking                                     Default value     Valor predeterminado             N                 N                 Y                  N                 Validate peer certificate                                               
PersistentShoppingCart                 FALSE                                                                                    String       Subsystem  Infrastructure Shopping Service Subsystem      Default value     Valor predeterminado             Y                 N                 N                  N                 PersistentShoppingCart                                                  
PostAddToCartLogic                                                                                                              String       Subsystem  Infrastructure Shopping Service Subsystem      Never set         No se estableció                 Y                 N                 N                  N                 PostAddToCartLogic                                                      
PriceListCacheLifeTime                 -1                                                                                       Integer      Subsystem  Infrastructure Pricingcache subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 Price List Cache Life Time                                              
PriceListItemCacheLifeTime             -1                                                                                       Integer      Subsystem  Infrastructure Pricingcache subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 Price List Item Cache Life Time                                         
PricerMappingCacheSize                 100                                                                                      Integer      Subsystem  Infrastructure Pricingcache subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 Pricer Mapping Cache Size                                               
PricerPriceItemCacheSize               100                                                                                      Integer      Subsystem  Infrastructure Pricingcache subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 Price Item Cache Size                                                   
PricerPriceListCacheSize               20                                                                                       Integer      Subsystem  Infrastructure Pricingcache subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 Price List Cache Size                                                   
PricerPriceModelCacheSize              50                                                                                       Integer      Subsystem  Infrastructure Pricingcache subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 Price Model Cache Size                                                  
PricerVolDisCacheSize                  50                                                                                       Integer      Subsystem  Infrastructure Pricingcache subsystem          Default value     Valor predeterminado             Y                 N                 N                  N                 Price Volume discount Cache Size                                        
ProcessMode                            Remote                                                                                   String       Subsystem  Communications Outbound Manager                Default value     Valor predeterminado             N                 N                 N                  N                 Process Mode                                                            
ProductDetailView                      NONE                                                                                     String       Subsystem  Infrastructure Shopping Service Subsystem      Default value     Valor predeterminado             Y                 N                 N                  N                 ProductDetailView                                                       
ProposalReportTimeoutInSecond          1800                                                                                     Integer      Subsystem  eDoc Sub System                                Default value     Valor predeterminado             N                 N                 N                  N                 ProposalReportTimeoutInSecond                                           
RTSSleepTime                           30                                                                                       Integer      Subsystem  RTS Sub System                                 Default value     Valor predeterminado             Y                 N                 N                  N                 RTS Sleep Time                                                          
RecipSearchSpec                                                                                                                 String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Recipient Search Spec                                                   
RecipientBusComp                                                                                                                String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Recipient Business Component                                            
RecipientGroup                                                                                                                  String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Recipient Group                                                         
RegularAsgn                            True                                                                                     Boolean      Subsystem  Assignment Subsystem                           Default value     Valor predeterminado             Y                 N                 N                  N                 Regular Assignment                                                      
Repository                             Siebel Repository                                                                        String       Subsystem  Database Access                                Default value     Valor predeterminado             Y                 N                 N                  N                 Siebel Repository                                                       
RequestBodyTemplate                                                                                                             String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Request Body Template                                                   
RequestDefaultMedium                                                                                                            String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Request Default Medium                                                  
RequestLanguageCode                                                                                                             String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Language Code                                                           
RequestLocaleCode                                                                                                               String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Locale Code                                                             
RequestName                                                                                                                     String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Request Name                                                            
RequestSendFlag                        N                                                                                        String       Subsystem  Communications Outbound Manager                Default value     Valor predeterminado             N                 N                 N                  N                 Request Send Flag                                                       
RequestSubjectTemplate                                                                                                          String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Request Subject Template                                                
RequestTimeZone                                                                                                                 String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Request Time Zone                                                       
ResourceLanguage                                                                                                                String       Subsystem  Object Manager                                 Never set         No se estableció                 Y                 N                 N                  N                 OM - Resource Language Code                                             
RestrictPrimaryJoin                    False                                                                                    Boolean      Subsystem  Datasources Subsystem                          Default value     Valor predeterminado             Y                 N                 N                  N                 Restrict Primary Join                                                   
RetryInterval                          5                                                                                        Integer      Subsystem  Recovery                                       Default value     Valor predeterminado             Y                 N                 N                  N                 Retry Interval                                                          
RetryUpTime                            600                                                                                      Integer      Subsystem  Recovery                                       Default value     Valor predeterminado             Y                 N                 N                  N                 Retry Up Time                                                           
RootDir                                /foo_22/siebel/81/siebsrvr                                                               String       Server                                                    Server level      Nivel de servidor establecido    N                 N                 Y                  N                 Siebel Root Directory                                                   
RptMode                                None                                                                                     String       Subsystem  Assignment Subsystem                           Default value     Valor predeterminado             Y                 N                 N                  N                 Reporting Mode                                                          
RtdApplicationName                                                                                                              String       Subsystem  Marketing Server Subsystem                     Never set         No se estableció                 Y                 N                 N                  N                 RTD Application Name                                                    
RtdSessionCookieName                   JSESSIONID                                                                               String       Subsystem  Marketing Server Subsystem                     Default value     Valor predeterminado             Y                 N                 N                  N                 RTD Session Cookie Name                                                 
RtdSoapURL                             http://CHANGE_ME/rtis/sdwp                                                               String       Subsystem  Marketing Server Subsystem                     Default value     Valor predeterminado             Y                 N                 N                  N                 RTD SOAP URL                                                            
RtdWebServiceTimeout                   3000                                                                                     Integer      Subsystem  Marketing Server Subsystem                     Default value     Valor predeterminado             Y                 N                 N                  N                 RTD WebService Timeout                                                  
SAPReceiverPrtnrNum                    DFLT_PRTNR                                                                               String       Subsystem  SAP                                            Default value     Valor predeterminado             Y                 N                 N                  N                 SAP Receiver Partner Number                                             
SAPRfcConnectString                                                                                                             String       Subsystem  SAP                                            Never set         No se estableció                 Y                 N                 N                  N                 SAP RFC Connect String                                                  
SAPRfcDestEntry                                                                                                                 String       Subsystem  SAP                                            Never set         No se estableció                 Y                 N                 N                  N                 SAP RFC Destination Entry                                               
SAPRfcPassword                         ********                                                                                 String       Subsystem  SAP                                            Never set         No se estableció                 Y                 N                 N                  N                 SAP RFC Password                                                        
SAPRfcUserName                                                                                                                  String       Subsystem  SAP                                            Never set         No se estableció                 Y                 N                 N                  N                 SAP RFC User Name                                                       
SAPSenderPrtnrNum                                                                                                               String       Subsystem  SAP                                            Never set         No se estableció                 Y                 N                 N                  N                 SAP Sender Partner Number                                               
SARMLevel                              0                                                                                        Integer      Subsystem  (SARM) Response Measurement                    Default value     Valor predeterminado             N                 N                 N                  N                 SARM Granularity Level                                                  
SMTPServer                                                                                                                      String       Subsystem  SMTP subsystem                                 Never set         No se estableció                 Y                 N                 N                  N                 SMTP Server Name                                                        
SMTPServerPort                         25                                                                                       Integer      Subsystem  SMTP subsystem                                 Default value     Valor predeterminado             Y                 N                 N                  N                 SMTP Server Port                                                        
SRB ReqId                              0                                                                                        String       Subsystem  Infrastructure Core                            Default value     Valor predeterminado             Y                 N                 N                  N                 SRB RequestId                                                           
SearchInstallDir                                                                                                                String       Subsystem  Object Manager                                 Never set         No se estableció                 Y                 N                 N                  N                 Search - Install Directory                                              
SearchRemoteServer                     FALSE                                                                                    String       Subsystem  Object Manager                                 Default value     Valor predeterminado             Y                 N                 N                  N                 Search - Remote Server                                                  
SearchRemoteServerPath                                                                                                          String       Subsystem  Object Manager                                 Never set         No se estableció                 Y                 N                 N                  N                 Search - Remote Server Path                                             
SecAdptMode                            DB                                                                                       String       Subsystem  Security Manager                               Enterprise level  Nivel de Enterprise establecido  N                 Y                 N                  Y                 Security Adapter Mode                                                   
SecAdptName                            DBSecAdpt                                                                                String       Subsystem  Security Manager                               Enterprise level  Nivel de Enterprise establecido  N                 Y                 N                  Y                 Security Adapter Name                                                   
Server                                                                                                                          String       Server                                                    Never set         No se estableció                 Y                 N                 N                  N                 Siebel Server Name                                                      
SmqAlwaysAuthenticate                  False                                                                                    Boolean      Subsystem  SMQ Transport Subsystem                        Default value     Valor predeterminado             Y                 N                 N                  N                 SMQ Always Authenticate                                                 
SmqCompression                         GZIP                                                                                     String       Subsystem  SMQ Transport Subsystem                        Default value     Valor predeterminado             Y                 N                 N                  N                 SMQ Compression Algorithm                                               
SmqEncryption                          RC4                                                                                      String       Subsystem  SMQ Transport Subsystem                        Default value     Valor predeterminado             Y                 N                 N                  N                 SMQ Encryption Algorithm                                                
SourceBusObj                                                                                                                    String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Source Business Object                                                  
SourceIdList                                                                                                                    String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Source Id List                                                          
StageAllocationThreshold               0                                                                                        Integer      Subsystem  Marketing Server Subsystem                     Never set         No se estableció                 Y                 N                 N                  N                 Stage Allocation Threshold                                              
TableOwnPass                           ********                                                                                 String       Subsystem  Database Access                                Never set         No se estableció                 Y                 N                 N                  N                 Table Owner Password                                                    
TableOwner                             SIEBEL                                                                                   String       Subsystem  Database Access                                Enterprise level  Nivel de Enterprise establecido  Y                 N                 N                  N                 Table Owner                                                             
TaskRecipMin                                                                                                                    String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Task Recipient Minimum                                                  
TaskStartDate                                                                                                                   String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Task Start Date                                                         
TblSpace                                                                                                                        String       Subsystem  Database Access                                Never set         No se estableció                 Y                 N                 N                  N                 Tablespace Name                                                         
TestAddress                                                                                                                     String       Subsystem  Communications Outbound Manager                Never set         No se estableció                 N                 N                 N                  N                 Test Address                                                            
TestExecutableSearchPath                                                                                                        String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Exectuable Search Path                                             
TestExecuteMethodName                                                                                                           String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Execute Method Name                                                
TestExecuteServiceName                                                                                                          String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Execute Service Name                                               
TestInputDataSearchPath                                                                                                         String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Input Data Search Path                                             
TestResultsSearchPath                                                                                                           String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Results Search Path                                                
TestScriptSearchPath                                                                                                            String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Script Search Path                                                 
TestSuiteFileName                                                                                                               String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Suite File Name                                                    
TestSuiteTestName                                                                                                               String       Subsystem  Testing Subsystem                              Never set         No se estableció                 Y                 N                 N                  N                 Test Suite Test Name                                                    
TestSuiteWriteResults                  True                                                                                     Boolean      Subsystem  Testing Subsystem                              Default value     Valor predeterminado             Y                 N                 N                  N                 Test Suite Write Results                                                
UCMBatchObjectType                     Contact                                                                                  String       Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Batch Object Type                                                   
UCMBatchSize                           10                                                                                       Integer      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Batch Size                                                          
UCMCDMCleanseFlag                      False                                                                                    Boolean      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Data Management Cleanse Flag                                        
UCMCDMExactMatchFlag                   False                                                                                    Boolean      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Data Management Exact Match Flag                                    
UCMCDMMatchFlag                        False                                                                                    Boolean      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Data Management Match Flag                                          
UCMPubSubFlag                          False                                                                                    Boolean      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Publish/Subscribe Flag                                              
UCMSearchSpec                                                                                                                   String       Subsystem  Universal Customer Master Subsystem            Never set         No se estableció                 N                 N                 N                  N                 UCM Search Specification                                                
UCMSleepTime                           60                                                                                       Integer      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Sleep Time                                                          
UCMSortSpec                                                                                                                     String       Subsystem  Universal Customer Master Subsystem            Never set         No se estableció                 N                 N                 N                  N                 UCM Sort Specification                                                  
UCMSurvivorshipEngineFlag              False                                                                                    Boolean      Subsystem  Universal Customer Master Subsystem            Default value     Valor predeterminado             N                 N                 N                  N                 UCM Survivorship Engine Flag                                            
UpdateInterval                         1440                                                                                     Integer      Subsystem  Categorization Manager                         Default value     Valor predeterminado             N                 N                 N                  N                 KB Update Interval                                                      
UpgComponent                           Siebel HQ Server                                                                         String       Server                                                    Default value     Valor predeterminado             Y                 N                 N                  N                 Upgrade Component                                                       
UseKeyVal                              None                                                                                     String       Subsystem  Assignment Subsystem                           Default value     Valor predeterminado             Y                 N                 N                  N                 Use Key Value                                                           
Username                               SADMIN                                                                                   String       Subsystem  Database Access                                Enterprise level  Nivel de Enterprise establecido  Y                 N                 N                  N                 User Name                                                               
Vertical                               sia                                                                                      String       Subsystem  Vertical                                       Enterprise level  Nivel de Enterprise establecido  Y                 N                 N                  N                 OM - Vertical                                                           
